farm_id,supplier_id,location_id,size_hectares,primary_crop
1,1,75,1.82,Plantain
2,2,76,23.26,Plantain
3,3,77,24.15,Maize
4,3,78,3.95,Rice (Paddy)
5,4,79,16.26,Yam
6,5,80,16.1,Plantain
7,5,81,5.19,Groundnut
8,6,82,3.06,Cassava
9,7,83,9.76,Maize
10,8,84,18.97,Cocoa
11,8,85,15.58,Groundnut
12,8,86,13.54,Yam
13,9,87,23.38,Rice (Paddy)
14,10,88,13.35,Cassava
15,11,89,11.73,Rice (Paddy)
16,12,90,14.91,Groundnut
17,13,91,3.54,Plantain
18,14,92,13.96,Maize
19,15,93,4.98,Maize
20,15,94,5.6,Plantain
21,16,95,16.65,Yam
22,17,96,4.29,Cassava
23,18,97,9.14,Cocoa
24,19,98,2.57,Cocoa
25,19,99,23.0,Cocoa
26,20,100,17.99,Yam
27,21,101,3.19,Cassava
28,22,102,20.15,Groundnut
29,23,103,2.85,Yam
30,24,104,8.07,Groundnut
31,25,105,11.32,Maize
32,26,106,22.01,Cocoa
33,27,107,10.13,Cassava
34,28,108,20.8,Cocoa
35,29,109,10.63,Yam
36,30,110,1.71,Cassava
37,31,111,10.2,Groundnut
38,32,112,9.16,Yam
39,32,113,10.14,Groundnut
40,33,114,24.81,Rice (Paddy)
41,34,115,2.66,Maize
42,35,116,6.3,Yam
43,36,117,6.36,Yam
44,37,118,18.85,Groundnut
45,38,119,16.42,Cocoa
46,39,120,21.29,Plantain
47,39,121,24.79,Yam
48,40,122,1.32,Yam
49,41,123,3.55,Maize
50,42,124,1.02,Plantain
51,42,125,2.41,Rice (Paddy)
52,43,126,5.43,Plantain
53,44,127,16.71,Groundnut
54,45,128,11.37,Groundnut
55,46,129,7.8,Groundnut
56,47,130,5.47,Maize
57,48,131,17.73,Rice (Paddy)
58,48,132,14.23,Plantain
59,49,133,20.08,Cassava
60,50,134,18.67,Rice (Paddy)
61,50,135,9.24,Cassava
62,50,136,1.73,Maize
63,51,137,21.69,Cocoa
64,52,138,21.08,Rice (Paddy)
65,53,139,10.87,Rice (Paddy)
66,53,140,19.96,Rice (Paddy)
67,54,141,23.39,Plantain
68,55,142,23.15,Maize
69,56,143,19.73,Cassava
70,57,144,2.06,Rice (Paddy)
71,58,145,24.79,Yam
72,58,146,15.04,Cassava
73,59,147,11.42,Yam
74,60,148,9.93,Cassava
75,61,149,10.25,Plantain
76,62,150,4.08,Maize
77,62,151,3.34,Rice (Paddy)
78,63,152,19.53,Cocoa
79,64,153,14.51,Yam
80,65,154,19.45,Plantain
81,66,155,15.52,Groundnut
82,67,156,24.05,Rice (Paddy)
83,68,157,4.28,Cocoa
84,68,158,21.43,Maize
85,69,159,14.02,Rice (Paddy)
86,70,160,17.53,Cocoa
87,71,161,5.89,Cocoa
88,71,162,21.18,Groundnut
89,72,163,8.68,Cocoa
90,73,164,19.21,Plantain
91,74,165,16.62,Cocoa
92,74,166,1.41,Maize
93,75,167,0.78,Groundnut
94,76,168,15.22,Plantain
95,77,169,12.74,Cassava
96,77,170,21.39,Yam
97,78,171,20.29,Rice (Paddy)
98,79,172,18.23,Plantain
99,80,173,20.6,Cocoa
100,80,174,14.27,Yam
101,81,175,23.37,Rice (Paddy)
102,82,176,6.52,Yam
103,83,177,16.65,Groundnut
104,84,178,12.92,Yam
105,85,179,0.84,Plantain
106,85,180,15.1,Yam
107,85,181,16.58,Cassava
108,86,182,16.51,Maize
109,87,183,15.81,Maize
110,88,184,0.72,Yam
111,89,185,8.08,Cassava
112,90,186,18.77,Rice (Paddy)
113,91,187,11.26,Cassava
114,92,188,10.04,Groundnut
115,93,189,1.41,Rice (Paddy)
116,94,190,23.1,Cocoa
117,95,191,18.52,Cassava
118,96,192,14.52,Maize
119,97,193,24.35,Yam
120,98,194,21.87,Cocoa
121,99,195,2.45,Groundnut
122,100,196,15.76,Yam
