account_ref_id,customer_id,supplier_id,account_type,account_status,opened_date
1,2,,wallet,active,2020-04-18
2,5,,wallet,active,2026-05-10
3,9,,wallet,active,2019-11-10
4,14,,wallet,active,2025-02-17
5,18,,wallet,active,2023-04-29
6,20,,wallet,active,2021-08-10
7,21,,wallet,active,2023-08-02
8,30,,wallet,active,2025-12-30
9,35,,wallet,active,2022-10-13
10,36,,wallet,active,2019-01-28
11,38,,wallet,active,2023-11-20
12,39,,wallet,active,2022-07-12
13,41,,wallet,active,2025-03-22
14,42,,wallet,active,2026-01-30
15,47,,wallet,active,2026-01-03
16,50,,wallet,active,2020-10-19
17,53,,wallet,active,2019-11-01
18,56,,wallet,active,2019-05-21
19,58,,wallet,active,2021-05-20
20,64,,wallet,active,2026-04-26
21,67,,wallet,active,2019-07-18
22,68,,wallet,active,2026-04-03
23,70,,wallet,active,2019-07-12
24,71,,wallet,active,2023-09-20
25,75,,wallet,active,2022-05-23
26,82,,wallet,active,2020-01-31
27,85,,wallet,active,2021-11-15
28,91,,wallet,active,2024-02-10
29,92,,wallet,active,2020-06-15
30,95,,wallet,active,2019-12-10
31,96,,wallet,active,2024-04-05
32,97,,wallet,active,2020-11-18
33,104,,wallet,active,2022-10-18
34,106,,wallet,active,2020-07-01
35,109,,wallet,active,2024-05-19
36,113,,wallet,active,2022-03-04
37,114,,wallet,active,2024-01-20
38,115,,wallet,active,2019-11-19
39,118,,wallet,active,2022-10-16
40,119,,wallet,active,2021-08-01
41,122,,wallet,active,2021-09-08
42,128,,wallet,active,2024-02-13
43,129,,wallet,active,2023-09-18
44,130,,wallet,active,2022-05-26
45,132,,wallet,active,2026-01-09
46,134,,wallet,active,2022-09-01
47,136,,wallet,active,2021-12-28
48,138,,wallet,active,2020-05-13
49,139,,wallet,active,2019-06-03
50,149,,wallet,active,2022-03-30
51,155,,wallet,active,2021-11-28
52,160,,wallet,active,2025-01-03
53,166,,wallet,active,2022-07-19
54,167,,wallet,active,2023-01-09
55,170,,wallet,active,2025-02-15
56,174,,wallet,active,2022-11-23
57,176,,wallet,active,2024-02-10
58,180,,wallet,active,2022-11-20
59,186,,wallet,active,2025-12-11
60,189,,wallet,active,2023-12-12
61,194,,wallet,active,2020-01-09
62,199,,wallet,active,2019-07-17
63,205,,wallet,active,2022-06-24
64,208,,wallet,active,2019-05-29
65,223,,wallet,active,2021-01-22
66,224,,wallet,active,2024-07-25
67,225,,wallet,active,2023-01-08
68,226,,wallet,active,2023-05-18
69,228,,wallet,active,2019-04-30
70,229,,wallet,active,2020-11-27
71,232,,wallet,active,2024-10-27
72,233,,wallet,active,2024-07-08
73,238,,wallet,active,2024-07-28
74,243,,wallet,active,2026-01-25
75,247,,wallet,active,2023-07-13
76,248,,wallet,active,2019-05-08
77,249,,wallet,active,2022-06-18
78,250,,wallet,active,2025-12-19
79,253,,wallet,active,2024-07-05
80,254,,wallet,active,2025-08-04
81,258,,wallet,active,2020-11-16
