stock_id,store_id,product_id,quantity_on_hand,last_counted_date
1,1,134,87,2026-06-21
2,1,113,297,2026-06-21
3,1,91,371,2026-06-29
4,1,348,151,2026-06-28
5,1,262,97,2026-06-29
6,1,123,324,2026-06-30
7,1,166,76,2026-06-29
8,1,246,1,2026-06-18
9,1,121,404,2026-06-16
10,1,389,46,2026-06-30
11,1,330,135,2026-06-17
12,1,143,106,2026-06-19
13,1,368,256,2026-06-28
14,1,40,378,2026-06-26
15,1,309,335,2026-06-25
16,1,276,51,2026-06-25
17,1,176,136,2026-06-28
18,1,275,129,2026-06-27
19,1,190,157,2026-06-24
20,1,241,216,2026-06-26
21,1,116,54,2026-06-29
22,1,142,222,2026-06-18
23,1,19,21,2026-06-25
24,1,95,6,2026-06-21
25,1,354,454,2026-06-29
26,1,311,233,2026-06-17
27,1,261,349,2026-06-26
28,1,127,445,2026-06-21
29,1,383,320,2026-06-17
30,1,198,59,2026-06-21
31,1,83,198,2026-06-24
32,1,10,391,2026-06-22
33,1,31,195,2026-06-30
34,1,101,137,2026-06-28
35,1,267,419,2026-06-27
36,1,331,397,2026-06-19
37,1,270,290,2026-06-16
38,1,217,268,2026-06-20
39,1,385,470,2026-06-21
40,1,47,200,2026-06-29
41,1,42,47,2026-06-26
42,1,381,326,2026-06-30
43,1,336,418,2026-06-29
44,1,106,193,2026-06-24
45,1,97,388,2026-06-28
46,1,313,204,2026-06-21
47,1,188,498,2026-06-16
48,1,349,85,2026-06-17
49,1,78,91,2026-06-19
50,1,17,114,2026-06-30
51,1,110,3,2026-06-19
52,1,45,372,2026-06-28
53,1,358,127,2026-06-19
54,1,226,228,2026-06-21
55,1,21,258,2026-06-30
56,1,68,359,2026-06-28
57,1,232,265,2026-06-25
58,1,129,389,2026-06-28
59,1,377,482,2026-06-22
60,1,155,385,2026-06-28
61,1,76,78,2026-06-24
62,1,71,278,2026-06-24
63,1,292,373,2026-06-17
64,1,28,298,2026-06-19
65,1,366,12,2026-06-20
66,1,122,130,2026-06-30
67,1,20,273,2026-06-28
68,1,245,166,2026-06-24
69,1,193,223,2026-06-30
70,1,158,80,2026-06-16
71,1,367,468,2026-06-21
72,1,308,240,2026-06-22
73,1,192,179,2026-06-20
74,1,395,321,2026-06-30
75,1,375,170,2026-06-28
76,1,175,167,2026-06-17
77,1,373,99,2026-06-20
78,1,379,99,2026-06-20
79,1,304,96,2026-06-19
80,1,244,7,2026-06-23
81,1,394,409,2026-06-28
82,1,352,94,2026-06-16
83,1,229,404,2026-06-17
84,1,126,84,2026-06-17
85,1,159,389,2026-06-23
86,1,334,168,2026-06-23
87,1,79,68,2026-06-26
88,1,149,34,2026-06-27
89,1,380,200,2026-06-29
90,1,271,116,2026-06-16
91,1,250,439,2026-06-21
92,1,22,205,2026-06-30
93,1,300,342,2026-06-23
94,1,33,202,2026-06-16
95,1,312,135,2026-06-21
96,1,212,275,2026-06-25
97,1,165,5,2026-06-30
98,1,228,266,2026-06-16
99,1,66,100,2026-06-19
100,1,137,376,2026-06-27
101,1,360,136,2026-06-16
102,1,324,185,2026-06-28
103,1,305,30,2026-06-20
104,1,197,499,2026-06-19
105,1,350,456,2026-06-20
106,1,187,60,2026-06-29
107,1,162,74,2026-06-28
108,1,296,243,2026-06-28
109,1,287,10,2026-06-21
110,1,170,203,2026-06-25
111,1,321,200,2026-06-23
112,1,167,252,2026-06-27
113,1,355,195,2026-06-27
114,1,393,211,2026-06-17
115,1,74,109,2026-06-20
116,1,218,225,2026-06-20
117,1,306,347,2026-06-20
118,1,156,414,2026-06-18
119,1,114,463,2026-06-28
120,1,219,235,2026-06-29
121,1,209,261,2026-06-16
122,1,130,499,2026-06-18
123,1,279,369,2026-06-29
124,1,203,119,2026-06-19
125,1,260,39,2026-06-29
126,1,32,203,2026-06-27
127,1,169,42,2026-06-20
128,1,310,182,2026-06-26
129,1,73,211,2026-06-18
130,1,87,115,2026-06-29
131,1,400,132,2026-06-27
132,1,139,32,2026-06-23
133,1,344,258,2026-06-27
134,1,248,175,2026-06-29
135,1,88,30,2026-06-17
136,1,215,28,2026-06-20
137,1,12,139,2026-06-23
138,1,112,153,2026-06-18
139,1,206,83,2026-06-29
140,1,284,463,2026-06-20
141,1,2,69,2026-06-25
142,1,378,317,2026-06-23
143,1,220,463,2026-06-16
144,1,154,398,2026-06-22
145,1,172,258,2026-06-20
146,1,184,246,2026-06-28
147,1,178,62,2026-06-19
148,1,133,236,2026-06-18
149,1,254,125,2026-06-26
150,1,233,385,2026-06-18
151,1,363,133,2026-06-29
152,1,93,152,2026-06-23
153,1,265,410,2026-06-17
154,1,356,378,2026-06-18
155,1,4,69,2026-06-17
156,1,263,294,2026-06-21
157,1,177,42,2026-06-18
158,1,182,147,2026-06-30
159,1,146,464,2026-06-22
160,1,326,117,2026-06-29
161,1,205,295,2026-06-29
162,1,281,357,2026-06-16
163,1,38,260,2026-06-17
164,1,140,262,2026-06-16
165,1,283,214,2026-06-19
166,2,127,388,2026-06-17
167,2,48,460,2026-06-19
168,2,198,216,2026-06-20
169,2,227,469,2026-06-24
170,2,141,187,2026-06-29
171,2,385,255,2026-06-19
172,2,42,14,2026-06-20
173,2,233,123,2026-06-25
174,2,30,407,2026-06-18
175,2,282,258,2026-06-29
176,2,82,403,2026-06-17
177,2,221,228,2026-06-27
178,2,359,292,2026-06-26
179,2,11,147,2026-06-23
180,2,6,497,2026-06-29
181,2,219,274,2026-06-16
182,2,170,491,2026-06-20
183,2,64,165,2026-06-16
184,2,328,298,2026-06-23
185,2,180,80,2026-06-28
186,2,92,171,2026-06-26
187,2,292,97,2026-06-22
188,2,225,278,2026-06-24
189,2,21,250,2026-06-20
190,2,148,329,2026-06-23
191,2,318,305,2026-06-26
192,2,371,359,2026-06-23
193,2,10,10,2026-06-28
194,2,52,149,2026-06-17
195,2,302,424,2026-06-16
196,2,89,104,2026-06-28
197,2,125,428,2026-06-30
198,2,214,325,2026-06-30
199,2,53,32,2026-06-17
200,2,174,201,2026-06-27
201,2,374,361,2026-06-22
202,2,395,77,2026-06-28
203,2,36,209,2026-06-25
204,2,91,359,2026-06-25
205,2,373,282,2026-06-23
206,2,95,392,2026-06-19
207,2,194,101,2026-06-30
208,2,333,456,2026-06-19
209,2,235,47,2026-06-28
210,2,242,244,2026-06-22
211,2,135,183,2026-06-25
212,2,41,348,2026-06-19
213,2,348,461,2026-06-26
214,2,74,464,2026-06-23
215,2,367,382,2026-06-24
216,2,68,16,2026-06-16
217,2,164,214,2026-06-27
218,2,102,42,2026-06-16
219,2,32,322,2026-06-24
220,2,123,216,2026-06-18
221,2,308,111,2026-06-20
222,2,379,52,2026-06-26
223,2,321,445,2026-06-21
224,2,270,141,2026-06-30
225,2,186,21,2026-06-22
226,2,107,439,2026-06-27
227,2,213,80,2026-06-26
228,2,344,489,2026-06-20
229,2,98,54,2026-06-26
230,2,230,131,2026-06-16
231,2,375,204,2026-06-17
232,2,203,391,2026-06-18
233,2,173,118,2026-06-29
234,2,272,148,2026-06-20
235,2,188,468,2026-06-23
236,2,300,207,2026-06-27
237,2,106,429,2026-06-25
238,2,366,248,2026-06-26
239,2,150,432,2026-06-26
240,2,263,472,2026-06-19
241,2,299,274,2026-06-29
242,2,185,109,2026-06-24
243,2,168,220,2026-06-25
244,2,342,383,2026-06-30
245,2,126,127,2026-06-27
246,2,4,433,2026-06-19
247,2,392,470,2026-06-29
248,2,276,16,2026-06-27
249,2,104,334,2026-06-30
250,2,8,386,2026-06-25
251,2,187,446,2026-06-26
252,2,350,465,2026-06-29
253,2,59,132,2026-06-23
254,2,149,89,2026-06-23
255,2,387,389,2026-06-19
256,2,191,195,2026-06-24
257,2,167,406,2026-06-29
258,2,290,86,2026-06-20
259,2,55,209,2026-06-17
260,2,264,119,2026-06-16
261,2,103,403,2026-06-25
262,2,316,211,2026-06-20
263,2,63,245,2026-06-23
264,2,389,200,2026-06-29
265,2,199,368,2026-06-27
266,2,244,482,2026-06-23
267,2,7,492,2026-06-24
268,2,56,413,2026-06-28
269,2,20,494,2026-06-18
270,2,393,358,2026-06-23
271,2,305,144,2026-06-26
272,2,120,238,2026-06-17
273,2,236,1,2026-06-19
274,2,50,176,2026-06-28
275,2,152,80,2026-06-19
276,2,322,48,2026-06-17
277,2,332,68,2026-06-19
278,2,73,184,2026-06-24
279,2,339,422,2026-06-27
280,2,334,4,2026-06-21
281,2,357,470,2026-06-27
282,2,26,222,2026-06-19
283,2,289,91,2026-06-23
284,2,86,195,2026-06-17
285,2,327,198,2026-06-20
286,2,110,4,2026-06-28
287,2,324,118,2026-06-24
288,2,189,68,2026-06-21
289,2,240,219,2026-06-25
290,2,273,431,2026-06-19
291,2,117,242,2026-06-20
292,2,206,183,2026-06-20
293,2,115,387,2026-06-30
294,2,169,64,2026-06-19
295,2,238,128,2026-06-26
296,2,207,160,2026-06-22
297,2,278,285,2026-06-30
298,2,88,320,2026-06-26
299,2,121,232,2026-06-25
300,2,2,338,2026-06-21
301,2,45,30,2026-06-17
302,2,114,81,2026-06-20
303,2,210,45,2026-06-18
304,2,237,271,2026-06-21
305,2,313,9,2026-06-29
306,2,267,467,2026-06-16
307,2,382,391,2026-06-27
308,2,132,39,2026-06-24
309,2,266,464,2026-06-29
310,2,353,322,2026-06-17
311,2,259,73,2026-06-24
312,2,304,97,2026-06-29
313,2,252,68,2026-06-16
314,2,223,234,2026-06-23
315,2,246,122,2026-06-29
316,2,80,408,2026-06-30
317,2,156,203,2026-06-19
318,2,293,376,2026-06-19
319,2,19,334,2026-06-23
320,2,29,425,2026-06-17
321,2,37,38,2026-06-24
322,2,16,91,2026-06-20
323,2,71,148,2026-06-18
324,2,172,33,2026-06-28
325,2,285,88,2026-06-16
326,2,330,118,2026-06-20
327,2,287,1,2026-06-28
328,2,394,394,2026-06-26
329,2,249,226,2026-06-19
330,2,67,184,2026-06-20
331,2,109,217,2026-06-24
332,2,216,379,2026-06-23
333,2,118,130,2026-06-16
334,2,384,467,2026-06-19
335,2,298,160,2026-06-25
336,2,129,215,2026-06-19
337,2,18,114,2026-06-16
338,2,97,446,2026-06-19
339,2,217,299,2026-06-27
340,2,28,126,2026-06-26
341,2,253,127,2026-06-24
342,2,356,387,2026-06-29
343,2,27,94,2026-06-26
344,2,54,296,2026-06-28
345,2,22,251,2026-06-26
346,2,291,297,2026-06-18
347,2,325,440,2026-06-23
348,2,51,37,2026-06-23
349,2,90,226,2026-06-18
350,2,25,58,2026-06-17
351,2,335,60,2026-06-18
352,2,399,138,2026-06-26
353,2,363,286,2026-06-26
354,2,295,339,2026-06-20
355,2,209,439,2026-06-27
356,2,320,304,2026-06-20
357,2,202,72,2026-06-17
358,2,352,486,2026-06-17
359,2,361,246,2026-06-30
360,2,5,313,2026-06-29
361,2,34,430,2026-06-26
362,2,319,154,2026-06-29
363,2,137,352,2026-06-21
364,2,309,74,2026-06-23
365,2,358,376,2026-06-25
366,2,400,244,2026-06-27
367,2,297,213,2026-06-20
368,2,254,433,2026-06-26
369,2,138,408,2026-06-17
370,2,326,344,2026-06-20
371,2,184,388,2026-06-27
372,2,376,374,2026-06-24
373,2,317,284,2026-06-28
374,2,83,436,2026-06-17
375,2,147,387,2026-06-18
376,2,257,393,2026-06-20
377,2,23,101,2026-06-18
378,2,369,448,2026-06-30
379,2,192,336,2026-06-28
380,2,24,397,2026-06-20
381,2,40,497,2026-06-23
382,2,183,130,2026-06-21
383,2,157,149,2026-06-20
384,2,368,59,2026-06-26
385,2,93,245,2026-06-17
386,2,81,326,2026-06-24
387,2,44,368,2026-06-20
388,2,122,434,2026-06-19
389,2,96,174,2026-06-25
390,2,139,413,2026-06-26
391,2,247,183,2026-06-27
392,2,176,384,2026-06-20
393,2,145,409,2026-06-17
394,2,179,367,2026-06-21
395,2,212,241,2026-06-16
396,2,218,285,2026-06-25
397,2,397,404,2026-06-21
398,2,307,230,2026-06-29
399,2,14,323,2026-06-25
400,2,331,93,2026-06-17
401,2,355,99,2026-06-22
402,2,161,145,2026-06-23
403,2,33,193,2026-06-18
404,2,69,408,2026-06-27
405,2,151,237,2026-06-20
406,2,43,41,2026-06-18
407,2,340,178,2026-06-26
408,2,398,446,2026-06-19
409,2,288,443,2026-06-26
410,2,391,356,2026-06-30
411,2,193,238,2026-06-20
412,2,274,29,2026-06-21
413,2,195,290,2026-06-20
414,2,378,139,2026-06-27
415,2,229,416,2026-06-30
416,2,248,331,2026-06-18
417,2,364,165,2026-06-21
418,2,144,468,2026-06-16
419,2,70,108,2026-06-27
420,2,136,154,2026-06-27
421,2,275,70,2026-06-21
422,2,310,465,2026-06-29
423,2,226,195,2026-06-17
424,2,390,382,2026-06-27
425,2,75,477,2026-06-29
426,2,365,332,2026-06-30
427,2,77,214,2026-06-30
428,2,231,178,2026-06-29
429,2,196,292,2026-06-30
430,2,208,231,2026-06-20
431,2,153,446,2026-06-22
432,2,146,201,2026-06-16
433,2,262,35,2026-06-25
434,2,171,347,2026-06-26
435,2,130,116,2026-06-28
436,2,386,402,2026-06-27
437,2,94,409,2026-06-22
438,2,111,219,2026-06-28
439,2,351,299,2026-06-23
440,2,303,272,2026-06-27
441,2,39,91,2026-06-30
442,2,116,192,2026-06-22
443,2,177,8,2026-06-29
444,2,134,117,2026-06-17
445,2,154,31,2026-06-22
446,2,60,280,2026-06-16
447,2,162,319,2026-06-30
448,2,133,63,2026-06-17
449,2,35,371,2026-06-21
450,2,314,485,2026-06-23
451,2,46,374,2026-06-29
452,2,38,110,2026-06-22
453,2,343,104,2026-06-30
454,2,142,373,2026-06-16
455,2,3,171,2026-06-19
456,2,311,485,2026-06-19
457,2,85,451,2026-06-23
458,2,99,148,2026-06-18
459,2,47,174,2026-06-23
460,2,255,63,2026-06-26
461,2,381,251,2026-06-19
462,2,336,347,2026-06-16
463,2,280,98,2026-06-30
464,2,258,294,2026-06-16
465,2,315,153,2026-06-28
466,2,360,217,2026-06-23
467,2,388,465,2026-06-17
468,2,265,332,2026-06-21
469,2,13,109,2026-06-25
470,2,163,86,2026-06-23
471,2,294,22,2026-06-20
472,2,182,357,2026-06-23
473,2,197,30,2026-06-30
474,2,301,35,2026-06-17
475,2,215,324,2026-06-16
476,2,84,59,2026-06-27
477,2,76,497,2026-06-22
478,2,140,495,2026-06-18
479,2,72,192,2026-06-16
480,2,31,269,2026-06-25
481,2,345,295,2026-06-30
482,2,100,416,2026-06-28
483,2,329,352,2026-06-30
484,3,349,300,2026-06-28
485,3,85,371,2026-06-21
486,3,198,423,2026-06-21
487,3,244,3,2026-06-16
488,3,46,149,2026-06-18
489,3,400,369,2026-06-18
490,3,319,445,2026-06-22
491,3,55,396,2026-06-24
492,3,173,214,2026-06-25
493,3,374,206,2026-06-25
494,3,156,395,2026-06-23
495,3,105,273,2026-06-23
496,3,344,455,2026-06-21
497,3,184,317,2026-06-24
498,3,148,306,2026-06-21
499,3,313,172,2026-06-18
500,3,269,234,2026-06-25
501,3,305,455,2026-06-23
502,3,245,66,2026-06-20
503,3,257,29,2026-06-29
504,3,387,55,2026-06-27
505,3,231,466,2026-06-20
506,3,31,13,2026-06-29
507,3,311,110,2026-06-30
508,3,174,427,2026-06-22
509,3,14,454,2026-06-18
510,3,87,361,2026-06-25
511,3,32,476,2026-06-16
512,3,181,447,2026-06-30
513,3,115,387,2026-06-23
514,3,289,28,2026-06-16
515,3,170,118,2026-06-17
516,3,81,208,2026-06-17
517,3,252,84,2026-06-28
518,3,111,424,2026-06-20
519,3,253,450,2026-06-19
520,3,113,424,2026-06-30
521,3,258,246,2026-06-21
522,3,378,90,2026-06-23
523,3,9,93,2026-06-23
524,3,97,499,2026-06-28
525,3,183,189,2026-06-24
526,3,15,463,2026-06-30
527,3,218,418,2026-06-28
528,3,13,215,2026-06-26
529,3,345,367,2026-06-29
530,3,292,168,2026-06-27
531,3,146,29,2026-06-30
532,3,337,305,2026-06-21
533,3,84,462,2026-06-20
534,3,360,64,2026-06-29
535,3,3,98,2026-06-23
536,3,99,206,2026-06-21
537,3,95,23,2026-06-18
538,3,169,483,2026-06-23
539,3,36,384,2026-06-28
540,3,367,446,2026-06-26
541,3,27,408,2026-06-30
542,3,135,28,2026-06-30
543,3,68,101,2026-06-26
544,3,123,312,2026-06-22
545,3,263,53,2026-06-18
546,3,20,167,2026-06-24
547,3,284,430,2026-06-25
548,3,17,175,2026-06-23
549,3,216,38,2026-06-26
550,3,141,47,2026-06-30
551,3,152,353,2026-06-19
552,3,248,3,2026-06-30
553,3,317,399,2026-06-25
554,3,33,353,2026-06-23
555,3,29,353,2026-06-22
556,3,315,412,2026-06-20
557,3,219,485,2026-06-18
558,3,35,89,2026-06-23
559,3,41,340,2026-06-28
560,3,203,444,2026-06-18
561,3,204,307,2026-06-24
562,3,380,331,2026-06-24
563,3,351,320,2026-06-24
564,3,92,318,2026-06-20
565,3,196,460,2026-06-23
566,3,373,322,2026-06-20
567,3,75,316,2026-06-17
568,3,18,162,2026-06-29
569,3,199,20,2026-06-23
570,3,197,53,2026-06-26
571,3,124,420,2026-06-16
572,3,280,296,2026-06-22
573,3,208,332,2026-06-24
574,3,101,174,2026-06-22
575,3,385,133,2026-06-17
576,3,398,394,2026-06-16
577,3,71,431,2026-06-18
578,3,392,464,2026-06-19
579,3,303,444,2026-06-26
580,3,329,99,2026-06-30
581,3,361,380,2026-06-29
