lease_id,property_id,tenant_id,start_date,end_date,monthly_rent,status
1,20,54,2022-12-05,2024-12-04,2047596.67,expired
2,41,50,2019-05-14,2020-05-13,2706351.11,expired
3,49,6,2022-04-07,2023-04-07,2287975.68,expired
4,91,47,2025-11-28,2027-11-28,2779759.69,active
5,81,50,2024-01-25,2025-01-24,261965.21,expired
6,7,10,2021-01-02,2024-01-02,1940193.07,terminated
7,87,57,2024-07-10,2025-07-10,1073612.84,expired
8,23,14,2022-06-01,2024-05-31,2199952.36,expired
9,29,61,2025-06-14,2026-06-14,1546574.32,expired
10,72,3,2026-04-15,2029-04-14,227343.78,active
11,25,10,2022-04-22,2023-04-22,1084939.45,expired
12,70,47,2021-05-26,2021-11-22,2693479.76,expired
13,60,1,2022-07-19,2023-07-19,1464535.29,expired
14,51,3,2019-10-22,2020-04-19,81308.6,expired
15,21,9,2018-02-27,2018-08-26,551966.42,expired
16,41,16,2019-04-08,2021-04-07,2961428.29,expired
17,85,53,2022-07-21,2023-01-17,2347362.41,expired
18,19,45,2025-09-09,2028-09-08,2983072.83,active
19,55,52,2024-05-12,2026-05-12,749991.14,expired
20,83,44,2022-03-15,2022-09-11,91762.46,terminated
21,44,14,2022-02-04,2025-02-03,471173.87,terminated
22,60,34,2023-11-01,2026-10-31,1805757.59,active
23,41,10,2022-09-08,2025-09-07,1308949.86,terminated
24,90,6,2021-01-29,2024-01-29,2802715.61,expired
25,6,14,2019-08-06,2020-02-02,2674086.55,expired
26,9,33,2024-02-16,2026-02-15,558405.92,expired
27,48,52,2018-08-31,2020-08-30,960778.22,expired
28,52,41,2020-12-29,2021-06-27,360089.51,expired
29,55,20,2021-01-12,2024-01-12,2625213.85,expired
30,17,10,2018-07-08,2021-07-07,2713958.9,expired
31,62,7,2024-11-21,2025-05-20,1557530.72,expired
32,94,44,2018-07-01,2018-12-28,2189603.22,expired
33,61,9,2018-11-14,2019-05-13,1733996.49,terminated
34,35,22,2019-06-11,2021-06-10,2808519.14,expired
35,46,36,2019-01-03,2021-01-02,1819710.01,expired
36,92,37,2021-12-05,2023-12-05,1763496.07,expired
37,70,5,2019-04-02,2022-04-01,216163.48,expired
38,24,58,2018-02-17,2018-08-16,234395.74,expired
39,59,42,2025-07-13,2026-07-13,310535.28,expired
40,10,29,2021-02-03,2023-02-03,2953595.25,expired
41,38,7,2019-10-04,2020-04-01,1305964.32,expired
42,18,53,2022-02-04,2025-02-03,1555731.3,expired
43,3,13,2019-04-13,2020-04-12,226168.25,expired
44,14,58,2020-10-02,2021-10-02,387264.84,expired
45,36,46,2021-11-14,2024-11-13,2305341.47,expired
46,12,17,2025-02-20,2027-02-20,1467877.77,active
47,65,10,2019-07-30,2020-07-29,1950031.4,expired
48,31,53,2019-08-23,2022-08-22,1358099.14,expired
49,69,18,2018-12-24,2021-12-23,2281533.17,expired
50,73,59,2020-12-30,2022-12-30,1254935.52,expired
51,54,39,2018-02-12,2021-02-11,2043567.19,expired
52,85,44,2022-05-21,2024-05-20,467145.98,terminated
53,3,56,2021-10-22,2024-10-21,1714463.76,expired
54,8,62,2025-01-19,2026-01-19,1957276.35,expired
55,18,33,2020-04-16,2022-04-16,2455011.63,expired
56,53,27,2024-04-23,2025-04-23,1068098.2,expired
57,88,5,2025-07-01,2026-07-01,2214019.1,terminated
58,35,17,2023-12-22,2024-06-19,1535135.19,expired
59,65,18,2025-01-05,2025-07-04,1972192.33,expired
60,50,52,2023-05-14,2024-05-13,1415376.82,expired
61,52,14,2020-08-02,2021-08-02,978542.42,expired
62,78,2,2022-12-17,2023-12-17,2889072.08,expired
63,70,25,2025-06-21,2025-12-18,1996134.28,terminated
64,2,40,2019-07-17,2020-01-13,193929.04,expired
65,61,9,2021-09-12,2024-09-11,664647.44,expired
66,55,35,2020-09-19,2022-09-19,2012639.68,expired
67,81,57,2024-11-03,2026-11-03,1567056.04,active
68,19,48,2021-05-20,2022-05-20,1077060.61,expired
69,87,19,2020-11-24,2021-05-23,2299000.92,expired
70,70,17,2019-06-02,2022-06-01,2172435.28,expired
71,75,7,2022-05-21,2022-11-17,97138.88,expired
72,88,14,2019-06-22,2020-06-21,1543939.55,expired
73,71,22,2021-12-08,2023-12-08,1849795.26,expired
74,19,20,2023-04-17,2024-04-16,1985670.31,expired
75,90,21,2026-05-31,2029-05-30,576765.05,active
76,40,28,2024-04-30,2025-04-30,2869590.62,expired
77,70,24,2020-11-18,2023-11-18,500588.28,expired
78,29,50,2026-04-06,2026-10-03,2903773.6,active
79,30,42,2018-04-22,2019-04-22,1312610.12,expired
80,46,37,2021-05-08,2024-05-07,2845017.53,expired
81,64,35,2024-08-20,2025-08-20,1785203.67,expired
82,12,47,2022-01-16,2024-01-16,337871.88,expired
83,45,55,2024-12-09,2027-12-09,2070074.98,active
84,92,24,2020-07-23,2021-01-19,96263.11,expired
85,77,18,2018-01-02,2018-07-01,641974.2,expired
86,9,56,2025-06-07,2026-06-07,2181423.91,expired
87,67,46,2025-12-18,2028-12-17,1491067.1,active
88,87,15,2018-09-16,2019-09-16,387036.68,expired
89,87,42,2024-09-27,2026-09-27,2021371.43,active
90,59,4,2026-03-27,2028-03-26,848246.12,active
91,47,5,2024-08-15,2027-08-15,544170.99,active
92,7,50,2026-02-01,2026-07-31,1970849.85,terminated
93,92,58,2025-01-06,2028-01-06,600434.58,active
94,39,56,2025-06-02,2025-11-29,1285194.8,expired
95,1,43,2023-08-10,2024-02-06,2820760.51,expired
96,43,39,2022-04-29,2025-04-28,285373.79,terminated
97,92,51,2020-10-20,2023-10-20,598589.9,terminated
98,18,13,2019-08-04,2022-08-03,1740983.02,expired
99,77,18,2019-03-15,2020-03-14,1312109.9,expired
100,24,62,2022-11-11,2025-11-10,2746862.27,expired
101,23,50,2025-02-16,2026-02-16,1485395.03,expired
102,53,42,2026-03-16,2026-09-12,1401642.17,terminated
103,79,35,2025-03-27,2026-03-27,1847569.59,expired
104,65,35,2019-02-19,2019-08-18,578571.4,expired
105,60,19,2024-12-31,2026-12-31,682987.41,active
106,12,58,2023-07-02,2026-07-01,568853.13,expired
107,32,10,2020-09-22,2021-03-21,1199654.09,expired
108,3,14,2024-01-09,2024-07-07,1623418.01,terminated
109,76,59,2019-01-17,2020-01-17,2692164.15,expired
110,17,28,2026-01-05,2026-07-04,1134148.9,terminated
111,94,52,2019-01-26,2020-01-26,1350772.88,terminated
112,72,36,2022-05-11,2024-05-10,655253.73,expired
113,85,21,2019-10-10,2021-10-09,2080963.16,expired
114,36,15,2019-10-14,2020-10-13,919895.45,expired
115,24,20,2025-08-13,2028-08-12,2988226.61,active
116,27,52,2018-09-19,2021-09-18,926627.82,expired
117,82,61,2026-04-23,2027-04-23,2427886.39,active
118,79,10,2023-01-01,2025-12-31,1111109.33,expired
119,33,55,2025-08-19,2026-02-15,581639.15,expired
120,91,47,2024-12-27,2025-12-27,2399720.24,expired
121,14,58,2021-12-02,2022-12-02,826310.32,terminated
122,10,44,2022-03-08,2022-09-04,763628.35,expired
123,47,4,2018-06-18,2018-12-15,561916.75,expired
124,89,40,2021-12-14,2023-12-14,1104901.01,expired
125,89,33,2022-08-16,2025-08-15,2693523.65,expired
126,17,17,2020-05-25,2022-05-25,1446360.32,expired
127,64,25,2025-02-14,2026-02-14,1700017.74,expired
128,56,56,2018-09-19,2020-09-18,2966255.48,expired
129,12,12,2020-06-07,2021-06-07,444895.64,terminated
130,43,3,2022-03-31,2025-03-30,1573988.43,expired
131,1,21,2021-12-16,2022-12-16,2523923.64,terminated
132,1,24,2019-08-19,2020-02-15,2734481.84,expired
133,17,56,2026-05-08,2029-05-07,2739360.49,active
134,24,6,2024-09-16,2025-09-16,2298063.97,expired
135,45,30,2025-09-14,2026-09-14,1539135.87,active
136,46,14,2025-02-14,2027-02-14,2599033.12,active
137,12,26,2025-01-17,2026-01-17,2075380.48,expired
138,59,35,2022-07-01,2025-06-30,1730501.03,expired
139,52,10,2021-11-03,2024-11-02,425299.97,expired
140,66,56,2020-09-10,2023-09-10,1151111.87,expired
141,26,53,2020-07-08,2021-01-04,801818.97,terminated
142,80,36,2020-08-01,2021-01-28,425715.21,expired
143,38,38,2019-03-26,2021-03-25,2081843.55,expired
144,17,61,2025-01-21,2025-07-20,198784.41,expired
145,38,33,2019-04-08,2019-10-05,1437169.3,terminated
146,5,2,2025-10-05,2026-04-03,62342.07,expired
147,88,61,2023-03-16,2026-03-15,372737.92,expired
148,14,16,2019-03-11,2020-03-10,2738109.32,expired
149,35,25,2026-04-09,2029-04-08,467313.37,active
150,74,31,2023-02-08,2026-02-07,387797.67,expired
151,15,11,2026-03-25,2028-03-24,2638829.41,active
152,49,48,2019-10-15,2022-10-14,2374390.18,terminated
153,58,45,2018-02-09,2021-02-08,2004167.56,expired
154,92,39,2020-09-01,2022-09-01,684073.37,expired
155,81,10,2020-12-01,2023-12-01,577837.68,expired
156,22,20,2025-01-19,2027-01-19,442467.58,terminated
157,53,31,2026-05-31,2027-05-31,1307664.88,active
158,38,9,2023-04-21,2023-10-18,1482386.32,expired
159,84,56,2020-07-28,2023-07-28,1602404.27,expired
160,27,23,2025-05-17,2025-11-13,296409.03,expired
161,3,39,2018-11-14,2019-05-13,269131.88,expired
162,93,13,2018-08-10,2019-02-06,1182345.97,terminated
163,44,53,2025-03-10,2026-03-10,558841.84,expired
164,61,9,2019-12-10,2021-12-09,724182.67,expired
165,78,24,2024-07-02,2027-07-02,2818624.36,active
166,26,42,2021-04-11,2023-04-11,2776948.31,expired
167,93,43,2018-03-15,2018-09-11,970344.86,terminated
168,14,13,2019-07-17,2020-07-16,1254804.92,expired
169,8,11,2018-10-02,2019-10-02,2128388.04,expired
170,56,27,2021-11-05,2022-11-05,1765176.44,expired
171,23,10,2026-05-18,2026-11-14,2932132.03,active
172,19,61,2024-08-25,2026-08-25,1537931.29,terminated
173,68,16,2021-06-26,2022-06-26,623526.42,expired
174,2,28,2025-04-23,2027-04-23,1710750.45,active
175,17,19,2026-01-31,2029-01-30,893043.58,terminated
176,34,38,2019-03-05,2022-03-04,1055936.32,expired
177,49,16,2021-05-18,2022-05-18,2011351.6,expired
178,64,18,2018-08-09,2019-08-09,2592316.55,terminated
179,69,63,2021-04-17,2023-04-17,2114873.73,expired
180,43,19,2020-09-13,2021-09-13,1249335.73,expired
181,10,46,2021-05-20,2024-05-19,1342021.48,expired
182,67,50,2024-03-08,2027-03-08,1321002.85,terminated
183,57,9,2023-11-05,2024-05-03,401963.67,expired
184,86,61,2022-12-22,2023-12-22,2425599.72,expired
185,63,15,2023-04-01,2025-03-31,1200957.62,terminated
186,77,42,2022-08-20,2023-02-16,296861.02,expired
187,77,27,2024-06-06,2026-06-06,932128.6,expired
188,84,36,2019-04-04,2020-04-03,465418.94,expired
189,76,48,2020-09-20,2022-09-20,2759135.84,expired
190,32,18,2022-11-07,2023-11-07,1942630.96,expired
191,18,5,2025-10-07,2028-10-06,1535650.27,terminated
192,42,1,2021-03-18,2022-03-18,1333286.5,expired
193,5,57,2022-01-24,2023-01-24,2749568.23,expired
194,55,34,2018-02-25,2021-02-24,1733359.72,terminated
195,2,15,2022-06-11,2023-06-11,172987.42,expired
196,43,4,2025-04-30,2025-10-27,2465044.59,expired
197,79,43,2020-03-03,2023-03-03,1998992.09,expired
198,1,5,2021-12-15,2022-12-15,525378.92,expired
199,84,34,2018-07-11,2019-07-11,2216473.97,expired
200,23,23,2018-03-24,2020-03-23,387917.43,expired
201,66,32,2021-11-13,2023-11-13,1201195.31,expired
202,12,35,2026-01-06,2026-07-05,1499730.51,terminated
203,87,34,2024-12-04,2025-06-02,1183129.34,expired
204,91,60,2023-02-28,2026-02-27,1678686.6,expired
205,53,8,2022-09-28,2023-03-27,1885669.18,expired
206,74,40,2025-12-09,2027-12-09,1893066.19,active
207,90,33,2018-12-17,2020-12-16,1718641.03,expired
208,16,50,2019-07-28,2021-07-27,1860389.09,expired
209,19,50,2021-09-18,2024-09-17,245581.84,expired
210,45,15,2026-02-06,2028-02-06,1978468.63,active
