location_id,site_name,site_type,address,city,country_code,latitude,longitude
1,Meridian Mart Uyo 1,store,29132 Kevin Route Apt. 361,Uyo,NG,9.920915,7.053295
2,Meridian Mart Mombasa 2,store,14613 Angela Alley,Mombasa,KE,12.268475,32.858203
3,Meridian Mart Enugu 3,store,11639 Moore Roads Apt. 174,Enugu,NG,13.327201,38.32753
4,Meridian Mart Lagos 4,store,31516 Kelly Burgs Apt. 520,Lagos,NG,4.427057,6.885967
5,Meridian Mart Uyo 5,store,310 Wise Station,Uyo,NG,6.818165,-2.609983
6,Meridian Mart Ibadan 6,store,47785 Smith Haven Apt. 087,Ibadan,NG,10.154239,35.931036
7,Meridian Mart Uyo 7,store,03060 Edwards Summit Suite 499,Uyo,NG,8.810434,22.387283
8,Meridian Mart Nairobi 8,store,930 Delacruz Green,Nairobi,KE,6.432827,9.410172
9,Meridian Mart Tamale 9,store,85206 Phelps Knolls,Tamale,GH,7.565009,22.664654
10,Meridian Mart Tamale 10,store,07269 Debbie Valley Apt. 019,Tamale,GH,7.970891,1.358415
11,Meridian Mart Abuja 11,store,13789 Jonathan Bypass,Abuja,NG,8.822769,39.022034
12,Meridian Mart Uyo 12,store,7612 Samantha Ferry,Uyo,NG,8.132171,27.220196
13,Meridian Mart Kisumu 13,store,289 Ortiz Circles,Kisumu,KE,10.940027,38.198218
14,Meridian Mart Abuja 14,store,069 Christopher Mission,Abuja,NG,9.867764,22.475293
15,Meridian Mart Accra 15,store,68150 Matthew Port Suite 924,Accra,GH,7.775956,7.768335
16,Meridian Mart Enugu 16,store,686 Leach Run Suite 305,Enugu,NG,6.029851,8.778446
17,Meridian Mart Lagos 17,store,79827 Lucas Freeway Suite 264,Lagos,NG,4.200138,20.701577
18,Meridian Mart Uyo 18,store,204 Brandon Glen Apt. 604,Uyo,NG,12.252981,18.901813
19,Meridian Mart Lagos 19,store,51578 Robinson Coves,Lagos,NG,7.428595,6.478659
20,Meridian Mart Benin City 20,store,774 Alicia Islands Apt. 298,Benin City,NG,7.251267,31.679849
21,Meridian Mart Kisumu 21,store,146 Roberto Highway,Kisumu,KE,10.122171,17.781843
22,Meridian Mart Enugu 22,store,8618 Richard Union,Enugu,NG,9.241396,16.031645
23,Meridian Mart Accra 23,store,61327 Nicole Spur Apt. 457,Accra,GH,6.908131,21.873857
24,Meridian Mart Abuja 24,store,8527 Amy Divide,Abuja,NG,10.91106,26.33747
25,Meridian Mart Port Harcourt 25,store,564 Andrea Court Apt. 762,Port Harcourt,NG,4.145044,21.797854
26,Meridian Mart Ibadan 26,store,8863 Dennis Drive Suite 564,Ibadan,NG,9.706432,31.499161
27,Meridian Mart Abuja 27,store,748 Morgan Keys,Abuja,NG,7.263644,10.787139
28,Meridian Mart Ibadan 28,store,489 Coleman Park Suite 553,Ibadan,NG,10.046055,37.115487
29,Meridian Mart Kano 29,store,39207 Marquez Divide,Kano,NG,8.256284,6.036107
30,Meridian Mart Port Harcourt 30,store,95261 Kelly Brook,Port Harcourt,NG,9.158321,16.987844
31,Meridian Mart Nakuru 31,store,7422 Garrett Parkway Suite 646,Nakuru,KE,10.008033,20.524925
32,Meridian Mart Uyo 32,store,4438 Mcbride Fields,Uyo,NG,5.64943,26.339172
33,Meridian Mart Lagos 33,store,1413 Young Spurs,Lagos,NG,4.315301,1.600956
34,Meridian Mart Takoradi 34,store,525 Soto Roads Apt. 365,Takoradi,GH,7.778714,33.995719
35,Meridian Mart Abuja 35,store,6547 Savage Harbor,Abuja,NG,6.855988,-2.512339
36,Meridian Mart Kumasi 36,store,44335 Mendez Inlet,Kumasi,GH,12.021831,35.833433
37,Meridian Mart Ibadan 37,store,635 Berry Shores,Ibadan,NG,12.363853,0.843164
38,Meridian Mart Port Harcourt 38,store,183 Scott Glens Apt. 263,Port Harcourt,NG,13.034762,-1.165725
39,Meridian Mart Accra 39,store,7038 Jordan Roads Suite 494,Accra,GH,13.494738,8.544776
40,Meridian Mart Ibadan 40,store,490 Eric Square Apt. 974,Ibadan,NG,11.554938,5.106567
41,Meridian Mart Benin City 41,store,400 Martha Loaf,Benin City,NG,6.662505,21.29133
42,Meridian Mart Port Harcourt 42,store,76911 Nathan Locks Suite 032,Port Harcourt,NG,8.639787,14.323348
43,Meridian Mart Nakuru 43,store,394 Moran Neck Suite 809,Nakuru,KE,13.259636,2.756837
44,Meridian Mart Benin City 44,store,2997 Murphy Cape,Benin City,NG,4.933358,30.725176
45,Meridian Mart Lagos 45,store,3757 Ware Tunnel Apt. 263,Lagos,NG,9.987065,8.02784
46,Meridian Mart Kano 46,store,2520 Boyer Green Apt. 107,Kano,NG,4.092058,17.594907
