loyalty_id,customer_id,store_format,tier,points_balance,enrolment_date
1,2,flagship,gold,29504,2024-09-12
2,6,online,bronze,17461,2022-03-13
3,9,express,bronze,29230,2023-01-04
4,11,online,bronze,9111,2019-12-03
5,17,online,gold,19415,2020-02-24
6,18,standard,platinum,40394,2024-08-09
7,18,express,bronze,31568,2022-08-31
8,20,flagship,bronze,23168,2024-08-30
9,21,online,silver,17058,2019-04-20
10,26,online,bronze,22892,2019-01-12
11,28,flagship,platinum,27413,2024-03-01
12,30,express,bronze,38225,2025-12-06
13,36,express,bronze,9067,2024-02-15
14,36,standard,bronze,18863,2019-05-10
15,39,online,bronze,4527,2021-02-06
16,41,standard,silver,39367,2024-09-28
17,42,flagship,silver,39086,2025-09-04
18,49,online,silver,14198,2023-05-14
19,50,flagship,bronze,42963,2024-03-25
20,54,flagship,bronze,651,2026-05-30
21,56,flagship,silver,12868,2024-02-25
22,58,online,bronze,4302,2021-12-12
23,59,express,silver,40954,2025-10-07
24,61,standard,bronze,10135,2022-08-02
25,63,flagship,bronze,3765,2020-02-28
26,64,flagship,bronze,25065,2019-08-09
27,65,express,silver,2771,2022-07-22
28,66,online,bronze,4198,2020-10-08
29,68,flagship,bronze,23957,2021-11-07
30,69,standard,bronze,30063,2024-07-01
31,69,express,silver,25561,2026-03-30
32,70,standard,silver,37637,2021-10-19
33,71,online,bronze,34443,2025-02-03
34,71,flagship,bronze,12377,2020-04-14
35,72,standard,bronze,24573,2020-05-01
36,74,express,bronze,9669,2022-05-04
37,75,flagship,bronze,1757,2022-09-09
38,79,standard,silver,42115,2026-03-21
39,80,online,gold,24225,2021-06-27
40,82,online,bronze,47472,2023-05-24
41,83,online,bronze,40306,2024-11-27
42,84,standard,gold,49957,2022-01-21
43,85,express,silver,42926,2021-07-12
44,85,online,bronze,46065,2021-08-25
45,86,flagship,gold,12601,2019-08-04
46,88,standard,bronze,30954,2023-10-06
47,90,flagship,bronze,30641,2022-07-12
48,90,express,silver,5482,2023-12-24
49,91,flagship,bronze,33828,2025-06-16
50,92,express,bronze,47298,2023-07-06
51,93,flagship,bronze,14000,2019-08-06
52,94,standard,gold,28092,2020-10-15
53,96,express,bronze,2658,2026-04-11
54,97,online,silver,19713,2025-05-06
55,102,online,bronze,46766,2021-01-23
56,104,online,platinum,13009,2021-08-06
57,104,flagship,bronze,45913,2025-10-12
58,105,online,silver,46560,2023-06-04
59,106,standard,bronze,33896,2024-04-24
60,113,online,silver,10682,2021-05-13
61,114,online,silver,32824,2024-06-23
62,115,online,bronze,49511,2019-10-22
63,118,online,bronze,48855,2021-05-19
64,119,online,silver,44547,2023-07-22
65,123,online,silver,30372,2019-05-05
66,123,flagship,bronze,46411,2019-11-13
67,126,express,silver,32322,2021-04-14
68,128,online,gold,37307,2024-04-04
69,129,flagship,bronze,14239,2024-01-07
70,130,express,bronze,9114,2021-08-01
71,130,flagship,gold,33654,2021-11-12
72,132,express,silver,34156,2021-07-21
73,136,standard,bronze,36553,2022-10-28
74,137,express,platinum,4704,2021-10-31
75,139,express,silver,44326,2024-12-24
76,143,flagship,platinum,28064,2021-06-09
77,147,online,platinum,33714,2019-11-10
78,149,online,bronze,12510,2019-09-11
79,149,express,bronze,36252,2026-04-26
80,150,standard,bronze,29095,2026-04-14
81,150,online,gold,3354,2023-05-12
