request_id,property_id,requested_date,category,status,resolved_date
1,94,2024-09-13,security,resolved,2024-10-23
2,24,2024-05-28,cleaning,in_progress,
3,14,2024-10-18,security,resolved,2024-11-12
4,86,2026-01-31,structural,open,
5,61,2023-06-25,electrical,in_progress,
6,7,2025-12-04,other,resolved,2026-01-02
7,42,2024-11-02,security,resolved,2024-11-10
8,88,2023-05-18,plumbing,resolved,2023-06-20
9,65,2026-06-23,electrical,in_progress,
10,75,2024-08-24,plumbing,resolved,2024-09-02
11,65,2025-10-04,structural,resolved,2025-10-26
12,28,2023-05-27,structural,resolved,2023-06-19
13,80,2023-08-23,other,cancelled,
14,2,2023-07-26,cleaning,in_progress,
15,45,2025-03-04,security,open,
16,47,2024-08-17,electrical,resolved,2024-08-28
17,73,2023-01-11,cleaning,resolved,2023-02-06
18,34,2023-03-24,cleaning,resolved,2023-04-02
19,73,2023-04-19,cleaning,in_progress,
20,94,2024-04-28,plumbing,resolved,2024-06-12
21,41,2023-04-08,structural,resolved,2023-05-14
22,39,2025-12-21,security,in_progress,
23,55,2023-11-17,plumbing,resolved,2023-12-31
24,43,2024-05-26,structural,resolved,2024-06-28
25,52,2025-09-04,security,resolved,2025-09-26
26,58,2025-11-01,other,resolved,2025-11-14
27,21,2025-06-04,security,resolved,2025-06-24
28,82,2023-11-19,structural,resolved,2023-12-19
29,16,2026-04-19,other,resolved,2026-04-25
30,25,2025-11-22,electrical,resolved,2025-11-28
31,66,2024-02-22,electrical,open,
32,47,2025-01-02,plumbing,in_progress,
33,31,2026-06-24,electrical,resolved,2026-08-08
34,17,2025-03-08,cleaning,resolved,2025-03-10
35,54,2024-02-23,electrical,open,
36,19,2025-07-15,security,cancelled,
37,27,2023-06-13,cleaning,cancelled,
38,31,2024-09-25,plumbing,open,
39,35,2023-01-15,security,resolved,2023-02-11
40,34,2024-03-03,plumbing,open,
41,3,2024-03-30,cleaning,cancelled,
42,91,2023-04-13,cleaning,resolved,2023-05-25
43,52,2023-08-12,structural,resolved,2023-09-20
44,17,2025-11-21,cleaning,resolved,2025-12-09
45,87,2023-07-30,plumbing,resolved,2023-08-24
46,15,2026-06-02,plumbing,resolved,2026-07-05
47,79,2023-04-12,other,cancelled,
48,49,2025-07-13,electrical,open,
49,58,2023-02-26,security,in_progress,
50,81,2023-08-22,other,open,
