run_id,harvest_id,facility_location_id,run_date,output_volume_kg
1,2,7179,2026-03-08,5163.68
2,3,7178,2025-01-17,2431.21
3,4,7178,2025-03-21,6948.41
4,5,7177,2024-08-02,544.66
5,6,7178,2026-03-06,4886.85
6,7,7176,2025-06-17,4505.74
7,8,7179,2026-04-25,6854.05
8,9,7176,2024-03-30,374.94
9,9,7176,2025-08-23,832.1
10,10,7176,2025-07-20,830.67
11,10,7178,2024-05-07,1482.22
12,11,7176,2026-03-20,6473.4
13,12,7178,2024-08-19,1098.93
14,13,7176,2024-12-16,6384.98
15,14,7179,2025-01-23,2436.62
16,15,7177,2025-05-21,2951.31
17,15,7179,2024-03-21,5823.63
18,16,7176,2026-02-11,3510.71
19,17,7176,2024-01-24,2778.36
20,18,7177,2024-04-15,3319.12
21,19,7178,2026-03-15,7055.83
22,20,7176,2024-06-01,6216.04
23,21,7177,2025-03-28,2793.66
24,22,7176,2026-04-07,5060.0
25,22,7178,2024-06-20,2337.19
26,24,7176,2024-03-29,490.18
27,24,7179,2025-01-25,5025.8
28,26,7179,2024-12-29,6103.19
29,27,7176,2024-01-13,5291.5
30,28,7178,2024-12-23,5566.0
31,29,7176,2026-02-23,3976.4
32,30,7176,2025-03-18,1279.57
33,31,7179,2024-07-13,7210.4
34,32,7178,2024-03-10,2476.18
35,33,7176,2025-01-13,507.17
36,34,7177,2026-04-25,5521.52
37,35,7178,2025-09-17,2881.25
38,36,7177,2025-11-12,2004.13
39,37,7179,2024-06-13,3871.25
40,38,7176,2025-10-19,5667.97
41,39,7179,2026-06-16,5753.57
42,39,7177,2024-02-15,6097.24
43,40,7177,2024-05-14,1510.09
44,41,7176,2025-07-19,1435.75
45,41,7179,2024-12-10,5764.98
46,42,7176,2026-03-29,885.28
47,43,7178,2025-03-25,2318.61
48,44,7177,2026-02-13,6292.71
49,45,7179,2025-04-12,406.79
50,46,7178,2026-03-04,5598.93
51,47,7176,2024-07-22,2755.97
52,48,7177,2025-03-18,4264.91
53,49,7178,2025-07-04,7251.87
54,49,7176,2025-11-27,5541.76
55,50,7177,2025-09-13,5008.41
56,51,7178,2024-11-04,1502.31
57,52,7179,2026-01-24,4165.41
58,53,7176,2024-09-18,4176.75
59,54,7177,2026-06-06,2808.14
60,55,7179,2026-01-03,6965.81
61,55,7176,2024-08-22,4190.09
62,56,7177,2026-05-13,963.42
63,59,7178,2025-11-15,1188.45
64,60,7177,2024-11-13,1206.75
65,61,7179,2025-08-11,2395.38
66,61,7176,2026-06-30,3607.8
67,62,7176,2025-12-31,2185.33
68,63,7179,2025-11-13,3429.4
69,64,7177,2024-09-22,4187.11
70,65,7178,2024-01-23,427.21
71,65,7178,2026-03-10,6909.46
72,66,7179,2025-05-28,2439.46
73,67,7177,2025-07-17,284.91
74,68,7177,2026-01-22,6063.79
75,69,7179,2026-01-13,3723.22
76,69,7179,2025-11-15,3746.79
77,70,7178,2026-04-26,6447.93
78,71,7176,2025-11-19,6712.99
79,72,7177,2025-09-07,7268.78
80,73,7178,2025-08-09,2766.4
81,74,7178,2024-09-15,3047.19
82,76,7179,2026-06-29,5111.94
83,77,7177,2024-10-03,2670.22
84,78,7176,2025-01-07,5379.06
85,79,7176,2025-06-30,2949.58
86,80,7179,2024-03-01,5468.79
87,81,7179,2026-03-05,5139.05
88,81,7176,2026-06-16,2853.2
89,82,7179,2026-03-20,5598.28
90,83,7176,2025-02-21,5937.42
91,85,7178,2025-12-01,4901.26
92,86,7177,2024-10-31,7348.65
93,87,7176,2024-08-02,4336.38
94,88,7176,2024-08-30,7416.03
95,89,7176,2026-05-29,6051.63
96,90,7179,2024-08-09,7107.58
97,91,7178,2024-05-05,2299.84
98,92,7179,2026-05-16,1506.59
99,93,7177,2024-08-03,1336.56
100,94,7179,2025-06-03,3239.39
101,95,7179,2025-12-22,4715.51
102,96,7176,2024-12-08,2038.34
103,97,7178,2025-08-14,831.4
104,98,7176,2024-08-06,4170.48
105,99,7179,2025-03-07,2558.08
106,100,7178,2025-11-21,2797.68
107,100,7177,2024-03-09,1677.71
108,102,7176,2025-07-27,5775.67
109,102,7176,2024-04-02,6224.67
110,103,7178,2025-07-02,575.45
111,103,7178,2024-12-07,6854.43
112,104,7179,2024-09-21,1310.59
113,105,7178,2026-01-03,5352.48
114,106,7176,2024-01-01,2078.76
115,107,7176,2026-04-26,2024.38
116,108,7176,2025-05-23,6622.14
117,109,7179,2024-03-25,4847.19
118,110,7179,2026-01-25,6178.51
119,111,7178,2025-12-26,3746.24
120,112,7179,2026-05-06,5810.36
121,114,7178,2025-04-20,5068.55
122,115,7177,2024-04-15,4826.71
123,116,7178,2024-05-15,4210.67
124,117,7178,2024-01-10,5949.93
125,117,7177,2024-12-28,211.07
126,118,7179,2025-11-08,3775.89
127,118,7177,2024-04-16,734.57
128,119,7179,2024-12-01,6624.61
129,120,7179,2024-11-03,502.64
130,121,7176,2025-01-12,1238.58
131,122,7177,2024-12-24,1605.97
132,122,7176,2024-04-09,4137.02
133,123,7178,2025-03-26,6327.66
134,125,7176,2026-05-26,4918.04
135,126,7178,2025-01-20,2626.94
136,127,7177,2026-01-30,1212.2
137,129,7179,2024-08-19,5986.39
138,130,7179,2025-11-29,2512.39
139,131,7178,2025-01-04,1106.98
140,132,7176,2025-06-28,5683.47
141,132,7179,2024-01-19,3970.23
142,133,7177,2024-03-25,527.46
143,134,7177,2024-05-24,6079.16
144,135,7177,2024-08-27,3484.12
145,136,7178,2024-02-03,3055.11
146,137,7176,2024-03-03,765.82
147,138,7179,2024-01-14,4727.23
148,139,7176,2026-02-23,5781.72
149,140,7179,2024-05-29,4124.11
150,140,7177,2025-12-12,2297.38
151,141,7177,2024-12-12,2922.16
152,142,7178,2026-02-25,6965.26
153,142,7177,2024-10-23,7022.74
154,143,7177,2024-04-26,7195.95
155,144,7178,2024-06-24,5467.25
156,145,7176,2025-05-03,1164.28
157,146,7178,2024-11-28,6811.07
158,147,7178,2024-05-11,2835.34
159,148,7176,2024-08-03,3859.07
160,149,7178,2025-01-24,1590.96
161,149,7176,2026-03-28,6262.02
162,150,7178,2025-01-30,1354.66
163,151,7177,2025-11-06,6828.3
164,152,7179,2024-04-09,5850.45
165,152,7176,2024-01-08,1453.27
166,153,7179,2025-02-05,1809.73
167,154,7176,2024-08-08,2092.72
168,155,7176,2024-09-04,3265.61
169,156,7176,2025-02-22,6676.47
170,157,7178,2025-02-28,1326.98
171,158,7178,2026-03-12,6019.5
172,159,7177,2024-10-04,2331.02
173,160,7177,2025-03-14,6074.93
174,160,7179,2026-01-11,3476.94
175,161,7177,2024-05-06,158.57
176,162,7176,2024-05-03,1858.0
177,163,7179,2025-08-15,3841.37
178,164,7176,2024-06-27,2111.08
179,165,7177,2024-01-09,1652.62
180,166,7176,2024-02-13,3767.63
181,167,7176,2026-01-23,888.04
182,168,7177,2024-05-28,6360.67
183,169,7176,2025-10-20,4656.43
184,170,7176,2024-02-15,3905.48
185,171,7179,2026-04-12,5502.23
186,172,7179,2025-11-24,1216.61
187,173,7178,2025-08-09,5769.49
188,174,7177,2025-12-25,4382.74
189,175,7176,2026-05-02,5233.63
