product_id,product_name,category,unit_of_measure,primary_division_id,is_active
1,Groundnut - Among grade,Groundnut,kg,agricore,True
2,Groundnut - Attorney grade,Groundnut,kg,agricore,True
3,Cocoa - None grade,Cocoa,kg,agricore,True
4,Rice (Paddy) - Indicate grade,Rice (Paddy),kg,agricore,True
5,Yam - Cost grade,Yam,kg,agricore,True
6,Maize - Produce grade,Maize,kg,agricore,True
7,Cocoa - Middle grade,Cocoa,kg,agricore,True
8,Yam - Prepare grade,Yam,kg,agricore,True
9,Plantain - Late grade,Plantain,kg,agricore,True
10,Plantain - Letter grade,Plantain,kg,agricore,True
11,Cassava - Theory grade,Cassava,kg,agricore,True
12,Plantain - Magazine grade,Plantain,kg,agricore,True
13,Rice (Paddy) - Chair grade,Rice (Paddy),kg,agricore,True
14,Cocoa - Item grade,Cocoa,kg,agricore,False
15,Groundnut - Thing grade,Groundnut,kg,agricore,True
16,Rice (Paddy) - Kid grade,Rice (Paddy),kg,agricore,True
17,Yam - Skill grade,Yam,kg,agricore,True
18,Maize - Majority grade,Maize,kg,agricore,True
19,Rice (Paddy) - Win grade,Rice (Paddy),kg,agricore,True
20,Yam - Building grade,Yam,kg,agricore,True
21,Cocoa - Year grade,Cocoa,kg,agricore,True
22,Groundnut - Only grade,Groundnut,kg,agricore,True
23,Groundnut - Spend grade,Groundnut,kg,agricore,True
24,Cocoa - With grade,Cocoa,kg,agricore,True
25,Yam - Especially grade,Yam,kg,agricore,True
26,Groundnut - Late grade,Groundnut,kg,agricore,True
27,Plantain - Early grade,Plantain,kg,agricore,True
28,Maize - Seat grade,Maize,kg,agricore,True
29,Cassava - Half grade,Cassava,kg,agricore,True
30,Plantain - Short grade,Plantain,kg,agricore,True
31,Rice (Paddy) - Culture grade,Rice (Paddy),kg,agricore,True
32,Maize - Organization grade,Maize,kg,agricore,True
33,Cassava - Debate grade,Cassava,kg,agricore,True
34,Yam - Of grade,Yam,kg,agricore,True
35,Cocoa - Yard grade,Cocoa,kg,agricore,True
36,Groundnut - Report grade,Groundnut,kg,agricore,True
37,Rice (Paddy) - Blue grade,Rice (Paddy),kg,agricore,True
38,Yam - Doctor grade,Yam,kg,agricore,True
39,Maize - Stand grade,Maize,kg,agricore,True
40,Cocoa - Stuff grade,Cocoa,kg,agricore,True
41,Cassava - Buy grade,Cassava,kg,agricore,True
42,Plantain - Career grade,Plantain,kg,agricore,False
43,Cocoa - Remember grade,Cocoa,kg,agricore,True
44,Cassava - Nature grade,Cassava,kg,agricore,True
45,Rice (Paddy) - Education grade,Rice (Paddy),kg,agricore,True
46,Plantain - Poor grade,Plantain,kg,agricore,True
47,Groundnut - Rich grade,Groundnut,kg,agricore,True
48,Maize - Question grade,Maize,kg,agricore,True
49,Yam - Sort grade,Yam,kg,agricore,True
50,Yam - Remember grade,Yam,kg,agricore,True
51,Rice (Paddy) - Stop grade,Rice (Paddy),kg,agricore,True
52,Cassava - Movement grade,Cassava,kg,agricore,True
53,Maize - Fast grade,Maize,kg,agricore,True
54,Rice (Paddy) - Floor grade,Rice (Paddy),kg,agricore,True
55,Maize - Training grade,Maize,kg,agricore,True
56,Rice (Paddy) - Involve grade,Rice (Paddy),kg,agricore,True
