promotion_id,product_id,discount_type,discount_value,start_date,end_date
1,99,bogo,152.48,2025-01-23,2025-02-02
2,59,percentage,6.61,2026-02-09,2026-02-25
3,216,percentage,9.35,2025-05-02,2025-05-14
4,321,percentage,11.11,2025-12-10,2025-12-31
5,36,bogo,887.36,2025-04-18,2025-05-01
6,297,fixed_amount,1719.98,2026-06-14,2026-07-03
7,135,percentage,20.42,2025-05-16,2025-06-14
8,163,fixed_amount,892.97,2025-07-10,2025-07-24
9,114,percentage,15.01,2026-02-21,2026-03-04
10,220,bogo,553.25,2025-04-22,2025-05-20
11,140,fixed_amount,1549.53,2025-06-25,2025-07-12
12,236,bogo,1093.14,2026-01-17,2026-02-15
13,212,bogo,1976.65,2026-03-24,2026-04-16
14,143,fixed_amount,413.13,2026-03-29,2026-04-21
15,316,bogo,1807.79,2025-08-18,2025-08-28
16,34,percentage,28.27,2025-10-21,2025-11-11
17,16,percentage,5.5,2026-06-15,2026-07-05
18,253,percentage,21.64,2026-01-30,2026-02-24
19,382,fixed_amount,1836.47,2025-07-26,2025-08-07
20,101,fixed_amount,307.3,2026-04-10,2026-05-05
21,307,percentage,16.63,2025-05-06,2025-05-13
22,172,fixed_amount,1048.76,2026-01-25,2026-01-30
23,264,fixed_amount,1751.31,2025-04-07,2025-04-21
24,90,bogo,1783.63,2025-02-12,2025-03-08
25,345,fixed_amount,1676.91,2025-02-16,2025-02-25
26,95,percentage,15.06,2025-02-23,2025-03-24
27,126,bogo,1284.28,2025-05-23,2025-06-19
28,202,fixed_amount,467.64,2026-01-26,2026-02-23
29,5,bogo,256.7,2025-04-25,2025-05-08
30,15,fixed_amount,1158.27,2025-05-04,2025-05-18
31,156,percentage,15.63,2026-06-13,2026-07-10
32,250,bogo,1213.96,2025-04-22,2025-05-19
33,62,bogo,713.64,2025-07-25,2025-07-29
34,262,bogo,517.27,2026-03-03,2026-03-15
35,256,fixed_amount,1825.9,2025-10-17,2025-11-13
36,13,fixed_amount,1220.49,2025-09-25,2025-10-25
37,60,bogo,711.85,2026-05-19,2026-06-06
38,385,bogo,831.32,2026-03-27,2026-04-05
39,236,bogo,1632.35,2025-04-11,2025-04-27
40,195,bogo,1060.96,2026-03-17,2026-03-20
41,235,percentage,14.9,2025-02-15,2025-02-28
42,54,bogo,1781.09,2026-04-30,2026-05-14
43,205,bogo,224.2,2026-01-20,2026-02-13
44,120,percentage,16.09,2026-04-11,2026-04-24
45,169,fixed_amount,1978.04,2025-04-20,2025-05-01
46,260,percentage,5.83,2025-06-13,2025-06-17
47,108,bogo,85.03,2025-11-01,2025-11-30
48,87,fixed_amount,1404.55,2025-07-28,2025-08-25
49,197,bogo,949.8,2025-10-26,2025-11-21
50,234,percentage,15.22,2025-07-27,2025-08-03
51,262,bogo,1521.38,2025-10-09,2025-10-20
52,144,percentage,17.81,2025-07-31,2025-08-18
53,233,percentage,23.73,2026-05-09,2026-05-24
54,106,percentage,16.27,2026-05-13,2026-06-03
55,366,percentage,7.0,2026-05-20,2026-05-25
56,156,percentage,15.7,2025-03-25,2025-04-01
57,295,percentage,18.41,2025-04-28,2025-05-19
58,264,percentage,12.51,2025-02-12,2025-03-13
59,222,fixed_amount,1525.94,2025-01-15,2025-01-31
60,321,percentage,21.5,2025-03-12,2025-03-30
61,109,percentage,13.65,2026-04-24,2026-05-07
62,5,bogo,941.93,2025-10-27,2025-11-05
63,103,bogo,1299.71,2026-06-07,2026-07-04
64,128,percentage,27.25,2025-12-23,2026-01-09
65,394,percentage,20.05,2025-01-28,2025-02-08
66,157,percentage,16.16,2026-05-22,2026-06-21
67,122,bogo,151.23,2026-03-07,2026-03-22
68,34,fixed_amount,562.37,2025-03-06,2025-03-16
69,111,fixed_amount,1795.55,2026-02-14,2026-03-06
70,51,bogo,1530.18,2026-06-20,2026-07-09
71,53,fixed_amount,668.92,2026-04-21,2026-05-18
72,101,bogo,1055.13,2026-02-16,2026-02-20
73,85,fixed_amount,531.96,2026-01-18,2026-01-25
74,357,percentage,9.67,2025-08-31,2025-09-13
75,331,bogo,104.69,2025-03-21,2025-03-29
76,360,percentage,27.09,2025-03-24,2025-04-07
77,274,percentage,28.25,2025-09-30,2025-10-08
78,394,percentage,15.2,2026-04-12,2026-05-06
79,112,bogo,797.25,2025-01-01,2025-01-16
80,147,fixed_amount,756.26,2025-06-09,2025-06-26
81,113,percentage,9.59,2025-09-12,2025-09-26
82,201,percentage,18.71,2026-02-18,2026-03-15
83,76,bogo,1794.57,2026-06-18,2026-06-30
84,296,bogo,59.26,2025-05-01,2025-05-24
85,96,fixed_amount,347.8,2025-01-06,2025-01-14
86,10,fixed_amount,861.49,2025-05-16,2025-05-24
87,43,bogo,720.31,2025-12-16,2026-01-11
88,94,fixed_amount,615.9,2025-05-05,2025-05-15
89,360,fixed_amount,1478.56,2025-04-15,2025-04-29
90,352,bogo,1039.57,2025-08-06,2025-09-03
91,11,bogo,609.15,2025-01-05,2025-01-09
92,68,fixed_amount,1289.58,2025-10-22,2025-11-06
93,215,fixed_amount,1541.93,2026-05-24,2026-06-03
94,341,bogo,1319.58,2025-11-27,2025-11-30
95,246,percentage,27.23,2025-08-22,2025-09-16
96,66,percentage,10.29,2026-01-07,2026-01-18
97,9,bogo,322.6,2025-11-29,2025-12-09
98,133,percentage,26.72,2025-07-18,2025-07-25
99,103,percentage,21.83,2025-07-30,2025-08-17
100,78,fixed_amount,1718.09,2025-08-20,2025-09-15
101,76,percentage,20.94,2025-03-30,2025-04-02
102,220,bogo,1845.39,2025-08-20,2025-09-02
103,202,percentage,10.2,2026-01-20,2026-02-03
104,278,percentage,18.82,2025-03-19,2025-04-07
105,106,bogo,1518.52,2026-01-21,2026-02-19
106,239,bogo,963.99,2025-12-29,2026-01-20
107,121,percentage,14.47,2025-02-11,2025-02-21
108,319,bogo,1202.69,2026-01-04,2026-01-10
109,37,percentage,26.79,2026-04-09,2026-04-26
110,220,fixed_amount,199.52,2026-01-19,2026-02-16
111,162,bogo,330.55,2026-05-06,2026-05-28
112,114,percentage,22.85,2025-03-06,2025-03-23
113,276,percentage,29.55,2026-05-04,2026-05-14
114,150,percentage,21.78,2025-04-15,2025-05-06
115,259,fixed_amount,883.3,2026-01-16,2026-01-23
116,174,fixed_amount,911.52,2025-07-24,2025-08-21
117,31,percentage,27.52,2025-11-16,2025-11-25
118,25,percentage,14.59,2026-03-02,2026-03-05
119,114,percentage,22.84,2025-08-25,2025-09-16
120,232,fixed_amount,312.61,2025-06-20,2025-07-19
121,186,fixed_amount,90.91,2025-04-21,2025-05-05
122,141,bogo,763.88,2025-01-21,2025-02-12
123,25,fixed_amount,429.09,2025-06-24,2025-06-27
124,87,bogo,606.17,2025-01-23,2025-02-07
125,259,bogo,1808.97,2025-03-07,2025-04-05
126,68,bogo,1230.0,2025-12-03,2025-12-25
127,275,fixed_amount,403.84,2025-01-29,2025-02-04
128,113,fixed_amount,587.86,2026-04-10,2026-04-29
129,316,fixed_amount,1541.83,2025-10-11,2025-10-16
130,68,percentage,14.75,2025-06-17,2025-07-11
131,397,fixed_amount,52.23,2025-05-02,2025-05-08
132,342,fixed_amount,604.04,2025-07-13,2025-08-03
133,357,bogo,475.31,2026-01-09,2026-01-19
134,16,percentage,13.86,2025-01-21,2025-02-20
135,92,bogo,1480.94,2025-11-20,2025-12-08
136,371,fixed_amount,552.23,2026-03-20,2026-04-18
137,263,percentage,28.64,2026-04-25,2026-05-24
138,286,fixed_amount,81.87,2025-01-11,2025-02-09
139,191,bogo,915.36,2025-05-15,2025-06-11
140,248,bogo,773.23,2025-10-20,2025-11-06
141,163,bogo,1271.83,2026-06-23,2026-07-23
142,190,percentage,20.63,2026-01-29,2026-02-22
143,330,fixed_amount,1913.85,2025-08-27,2025-08-30
144,245,bogo,935.73,2025-09-05,2025-09-22
145,253,fixed_amount,1470.74,2026-02-07,2026-03-07
146,208,bogo,1348.74,2026-06-16,2026-07-06
147,11,bogo,1040.39,2026-04-10,2026-04-21
148,185,bogo,322.62,2025-11-23,2025-12-21
149,121,percentage,28.33,2025-11-19,2025-12-19
150,378,bogo,389.68,2025-05-06,2025-05-15
