property_id,location_id,property_type,size_sqm,ownership_status
1,7074,retail_unit,663.62,leased_in
2,7075,mixed_use,1525.28,owned
3,7076,retail_unit,889.94,owned
4,7077,farmland,2550.38,owned
5,7078,warehouse,556.32,owned
6,7079,retail_unit,3971.2,leased_in
7,7080,retail_unit,4383.96,leased_in
8,7081,warehouse,4960.85,leased_in
9,7082,warehouse,2826.87,leased_in
10,7083,retail_unit,1984.41,owned
11,7084,retail_unit,4326.62,owned
12,7085,office,4252.02,leased_in
13,7086,retail_unit,2215.36,owned
14,7087,farmland,639.3,owned
15,7088,warehouse,3229.57,leased_in
16,7089,retail_unit,1853.3,leased_in
17,7090,retail_unit,3863.09,owned
18,7091,warehouse,712.02,leased_in
19,7092,farmland,102.47,owned
20,7093,mixed_use,1145.96,leased_in
21,7094,office,1546.76,owned
22,7095,warehouse,3620.46,leased_in
23,7096,retail_unit,3116.55,leased_in
24,7097,warehouse,750.52,owned
25,7098,retail_unit,2903.64,owned
26,7099,mixed_use,1501.1,owned
27,7100,farmland,2289.75,leased_in
28,7101,retail_unit,2086.22,owned
29,7102,farmland,345.4,owned
30,7103,mixed_use,4959.25,leased_in
31,7104,office,135.12,owned
32,7105,mixed_use,2198.73,leased_in
33,7106,mixed_use,4139.84,owned
34,7107,warehouse,3867.1,leased_in
35,7108,retail_unit,1916.85,leased_in
36,7109,retail_unit,2752.31,leased_in
37,7110,retail_unit,4037.44,leased_in
38,7111,retail_unit,2021.1,leased_in
39,7112,mixed_use,2029.8,leased_in
40,7113,mixed_use,4298.12,owned
41,7114,other,3431.39,owned
42,7115,warehouse,2011.73,owned
43,7116,retail_unit,294.76,owned
44,7117,warehouse,2661.14,owned
45,7118,farmland,4977.25,owned
46,7119,other,1138.24,leased_in
47,7120,mixed_use,4602.8,owned
48,7121,farmland,4997.52,owned
49,7122,mixed_use,4268.59,leased_in
50,7123,mixed_use,2605.69,owned
51,7124,retail_unit,4420.3,leased_in
52,7125,office,2430.25,owned
53,7126,mixed_use,3153.26,owned
54,7127,retail_unit,4501.42,leased_in
55,7128,office,3289.49,owned
56,7129,retail_unit,2496.79,owned
57,7130,retail_unit,4099.52,owned
58,7131,farmland,2502.48,leased_in
59,7132,farmland,2743.63,leased_in
60,7133,other,205.15,leased_in
61,7134,retail_unit,1869.11,leased_in
62,7135,warehouse,4418.79,leased_in
63,7136,warehouse,4338.4,leased_in
64,7137,office,4399.6,leased_in
65,7138,farmland,3870.25,leased_in
66,7139,mixed_use,1152.83,owned
67,7140,mixed_use,3471.62,leased_in
68,7141,retail_unit,2377.5,owned
69,7142,retail_unit,175.08,owned
70,7143,retail_unit,93.19,owned
71,7144,mixed_use,3399.41,leased_in
72,7145,retail_unit,3652.82,owned
73,7146,warehouse,790.28,owned
74,7147,mixed_use,3739.7,leased_in
75,7148,retail_unit,3879.39,leased_in
76,7149,other,1435.43,owned
77,7150,mixed_use,4318.0,leased_in
78,7151,other,4319.62,leased_in
79,7152,other,2887.53,owned
80,7153,office,2309.39,owned
81,7154,retail_unit,2952.54,owned
82,7155,other,399.88,owned
83,7156,retail_unit,2257.31,owned
84,7157,retail_unit,739.61,owned
85,7158,mixed_use,992.17,owned
86,7159,mixed_use,693.28,owned
87,7160,warehouse,3211.59,leased_in
88,7161,office,3127.18,leased_in
89,7162,warehouse,4521.35,owned
90,7163,office,175.76,leased_in
91,7164,mixed_use,734.15,leased_in
92,7165,other,3116.05,leased_in
93,7166,farmland,1015.67,owned
94,7167,retail_unit,4803.26,owned
