valuation_id,property_id,valuation_date,assessed_value
1,1,2022-08-01,602212540.29
2,1,2023-07-01,587263372.99
3,1,2024-08-01,561805996.07
4,1,2025-01-01,678101661.48
5,2,2022-09-01,324877919.71
6,2,2023-08-01,351542832.0
7,2,2024-04-01,348815263.93
8,2,2025-12-01,480044745.01
9,3,2022-04-01,632634878.24
10,3,2023-10-01,638182581.76
11,3,2024-07-01,736806742.94
12,3,2025-11-01,552396081.31
13,4,2022-08-01,207372767.39
14,4,2023-11-01,200432294.85
15,4,2024-02-01,250077297.39
16,4,2025-06-01,193008624.82
17,5,2022-03-01,260305228.95
18,5,2023-08-01,255529160.38
19,5,2024-03-01,331905603.83
20,5,2025-10-01,225906434.77
21,6,2022-01-01,94661471.34
22,6,2023-03-01,102053033.95
23,6,2024-12-01,85715835.08
24,6,2025-07-01,141590664.68
25,7,2022-06-01,17801976.07
26,7,2023-12-01,19011827.03
27,7,2024-09-01,20013394.64
28,7,2025-09-01,22115337.92
29,8,2022-06-01,395933785.43
30,8,2023-06-01,406387900.02
31,8,2024-03-01,450295604.75
32,8,2025-07-01,470901327.44
33,9,2022-12-01,289197149.98
34,9,2023-05-01,282604364.48
35,9,2024-06-01,365560128.98
36,9,2025-02-01,307074771.8
37,10,2022-12-01,453092207.06
38,10,2023-06-01,445723639.75
39,10,2024-10-01,492839792.15
40,10,2025-02-01,599998161.25
41,11,2022-08-01,225828199.79
42,11,2023-05-01,224822681.67
43,11,2024-12-01,280986445.25
44,11,2025-08-01,262116212.06
45,12,2022-12-01,395449193.3
46,12,2023-02-01,392235684.37
47,12,2024-09-01,376301514.75
48,12,2025-06-01,392137545.98
49,13,2022-11-01,345510112.35
50,13,2023-07-01,351199151.11
51,13,2024-05-01,324646962.35
52,13,2025-06-01,437932974.44
53,14,2022-03-01,689090791.54
54,14,2023-11-01,742290728.81
55,14,2024-02-01,903049490.68
56,14,2025-11-01,662723436.0
57,15,2022-03-01,767224316.96
58,15,2023-07-01,742634510.58
59,15,2024-10-01,919581020.29
60,15,2025-04-01,729728153.94
61,16,2022-02-01,305500729.52
62,16,2023-09-01,292783668.15
63,16,2024-06-01,288713909.56
64,16,2025-04-01,315348695.51
65,17,2022-06-01,486108748.65
66,17,2023-03-01,462674726.4
67,17,2024-11-01,581194572.12
68,17,2025-02-01,552731453.4
69,18,2022-02-01,197000325.93
70,18,2023-08-01,202503583.52
71,18,2024-01-01,208083482.93
72,18,2025-11-01,271754281.08
73,19,2022-10-01,726188948.86
74,19,2023-11-01,722935465.88
75,19,2024-02-01,762070428.2
76,19,2025-10-01,1099996922.69
77,20,2022-05-01,172763071.0
78,20,2023-08-01,197562715.07
79,20,2024-01-01,187849366.74
80,20,2025-10-01,162066289.34
81,21,2022-06-01,322568021.79
82,21,2023-11-01,336240496.25
83,21,2024-04-01,362277903.62
84,21,2025-04-01,436556994.5
85,22,2022-09-01,702782922.51
86,22,2023-05-01,776771491.17
87,22,2024-03-01,672803078.38
88,22,2025-04-01,658581719.12
89,23,2022-06-01,656971695.28
90,23,2023-01-01,624840305.87
91,23,2024-08-01,753597124.39
92,23,2025-12-01,938677907.69
93,24,2022-10-01,294846747.89
94,24,2023-05-01,321171139.4
95,24,2024-05-01,267446397.53
96,24,2025-07-01,280354991.63
97,25,2022-04-01,16964070.68
98,25,2023-02-01,16594951.6
99,25,2024-12-01,19644730.53
100,25,2025-01-01,16036791.88
101,26,2022-10-01,529214078.0
102,26,2023-03-01,606204674.27
103,26,2024-12-01,683102185.87
104,26,2025-06-01,601955727.3
105,27,2022-02-01,723364536.63
106,27,2023-10-01,695659122.44
107,27,2024-07-01,868456339.15
108,27,2025-06-01,827885170.18
109,28,2022-10-01,419948755.43
110,28,2023-04-01,410831998.8
111,28,2024-01-01,392396693.54
112,28,2025-10-01,461259427.15
113,29,2022-06-01,744239021.82
114,29,2023-11-01,765033851.28
115,29,2024-10-01,948268086.62
116,29,2025-11-01,820354695.72
117,30,2022-04-01,66415507.66
118,30,2023-12-01,66852253.44
119,30,2024-06-01,76025180.32
120,30,2025-09-01,57399276.9
121,31,2022-07-01,706968061.57
122,31,2023-04-01,685518642.3
123,31,2024-05-01,845613191.66
124,31,2025-11-01,732205767.97
125,32,2022-07-01,545528574.08
126,32,2023-01-01,589634949.56
127,32,2024-02-01,499632776.55
128,32,2025-05-01,811294541.22
129,33,2022-03-01,15440402.38
130,33,2023-05-01,16232222.47
131,33,2024-02-01,17347665.94
132,33,2025-03-01,16391301.53
133,34,2022-02-01,430940678.95
134,34,2023-07-01,459250692.35
135,34,2024-09-01,450276423.55
136,34,2025-08-01,615835053.99
137,35,2022-02-01,329431688.2
138,35,2023-06-01,337470271.48
139,35,2024-12-01,354850524.35
140,35,2025-11-01,337894551.86
141,36,2022-07-01,447185413.71
142,36,2023-02-01,507898921.7
143,36,2024-06-01,571715995.63
144,36,2025-10-01,675045144.46
145,37,2022-11-01,419100473.68
146,37,2023-10-01,400020458.52
147,37,2024-03-01,485747000.79
148,37,2025-06-01,394049261.73
149,38,2022-10-01,347656508.66
150,38,2023-07-01,394321147.93
151,38,2024-07-01,327596057.34
152,38,2025-08-01,313116971.88
153,39,2022-09-01,372031850.28
154,39,2023-08-01,374183586.07
155,39,2024-01-01,394988420.42
156,39,2025-06-01,325178578.16
157,40,2022-12-01,216912275.38
158,40,2023-01-01,217336439.56
159,40,2024-05-01,216987656.75
160,40,2025-02-01,272942545.34
161,41,2022-02-01,515407029.99
162,41,2023-01-01,564203751.78
163,41,2024-09-01,674704986.46
164,41,2025-02-01,625810771.76
165,42,2022-08-01,590648895.2
166,42,2023-01-01,677794257.49
167,42,2024-10-01,694548657.4
168,42,2025-08-01,567973670.06
169,43,2022-09-01,433780133.71
170,43,2023-10-01,456428766.35
171,43,2024-01-01,544379076.43
172,43,2025-02-01,602048884.36
173,44,2022-10-01,525415470.62
174,44,2023-08-01,526527370.65
175,44,2024-04-01,633927152.8
176,44,2025-05-01,507459060.12
177,45,2022-09-01,23635286.29
178,45,2023-09-01,23503339.73
179,45,2024-08-01,29056623.86
180,45,2025-03-01,23243846.84
181,46,2022-01-01,783045674.12
182,46,2023-11-01,874378189.41
183,46,2024-02-01,707253599.01
184,46,2025-03-01,1070656968.16
185,47,2022-06-01,280970004.86
186,47,2023-06-01,317593803.95
187,47,2024-12-01,320677905.18
188,47,2025-08-01,396841570.25
189,48,2022-12-01,627627220.18
190,48,2023-02-01,665702543.51
191,48,2024-08-01,751047859.67
192,48,2025-01-01,556809108.11
193,49,2022-10-01,193206961.8
194,49,2023-08-01,201998923.64
195,49,2024-03-01,182836929.92
196,49,2025-06-01,189976845.14
197,50,2022-07-01,714123704.3
198,50,2023-05-01,718094202.97
199,50,2024-01-01,894842299.31
200,50,2025-12-01,768857994.63
201,51,2022-11-01,29248969.88
202,51,2023-05-01,31339739.58
203,51,2024-12-01,27716591.58
204,51,2025-01-01,39581322.39
205,52,2022-12-01,506029875.36
206,52,2023-04-01,506927075.19
207,52,2024-07-01,591235996.84
208,52,2025-07-01,436116850.84
209,53,2022-04-01,739871321.86
210,53,2023-12-01,791894288.49
