grade_id,run_id,grade_level,moisture_content,inspector_employee_id
1,1,A,11.6,1122
2,2,A,17.48,1158
3,3,A,16.94,1072
4,4,C,10.74,1044
5,5,B,9.45,1197
6,6,B,11.35,1099
7,7,C,11.89,1110
8,8,A,10.78,1057
9,9,B,16.53,1132
10,10,A,15.54,971
11,11,C,13.87,1108
12,12,B,11.75,995
13,13,C,15.64,1142
14,14,A,14.85,1036
15,15,A,13.04,1177
16,16,B,9.53,1026
17,17,C,8.8,903
18,18,B,15.2,1142
19,19,B,17.24,989
20,20,A,10.28,970
21,21,B,14.83,1004
22,22,C,11.24,1120
23,23,B,12.13,1135
24,24,C,16.61,913
25,25,A,11.57,1185
26,26,A,15.79,984
27,27,C,10.6,902
28,28,B,8.33,1025
29,29,B,17.52,1097
30,30,A,15.72,1149
31,31,B,13.4,1031
32,32,A,10.07,905
33,33,reject,14.09,1059
34,34,A,17.05,1068
35,35,B,14.96,1181
36,36,A,10.76,904
37,37,C,15.93,908
38,38,A,11.76,1003
39,39,B,14.89,1050
40,40,A,17.78,1024
41,41,reject,17.52,925
42,42,A,13.92,1028
43,43,B,12.25,1057
44,44,A,13.84,1199
45,45,A,15.31,946
46,46,A,17.12,1095
47,47,B,11.8,1007
48,48,B,15.61,1169
49,49,B,8.57,1119
50,50,A,16.57,1177
51,51,B,9.16,1179
52,52,C,14.08,1121
53,53,A,13.25,944
54,54,B,13.06,1152
55,55,A,16.67,1121
56,56,A,13.64,1174
57,57,A,11.56,1174
58,58,C,17.43,974
59,59,B,13.94,1064
60,60,B,10.71,1069
61,61,B,11.94,1176
62,62,C,9.97,1191
63,63,A,12.78,1024
64,64,C,11.4,1166
65,65,C,9.54,1066
66,66,B,16.0,1188
67,67,A,12.21,1089
68,68,B,16.73,1075
69,69,A,10.32,1137
70,70,C,16.77,1051
71,71,A,16.09,1110
72,72,A,15.94,1037
73,73,A,10.48,988
74,74,A,15.36,1060
75,75,A,10.77,1070
76,76,A,8.02,1010
77,77,A,17.77,965
78,78,A,10.38,1153
79,79,B,12.36,1182
80,80,B,13.2,947
81,81,A,16.52,990
82,82,C,10.66,1107
83,83,B,9.88,1125
84,84,A,15.09,932
85,85,A,9.21,1022
86,86,C,9.64,1020
87,87,B,17.79,947
88,88,B,15.67,1005
89,89,B,16.14,907
90,90,A,8.57,1083
91,91,C,15.1,1125
92,92,B,15.18,1128
93,93,B,8.43,1186
94,94,A,9.15,1021
95,95,B,13.17,1198
96,96,A,9.14,1077
97,97,A,11.96,1043
98,98,reject,13.29,1044
99,99,A,13.69,1136
100,100,C,16.8,1129
101,101,A,17.77,975
102,102,B,10.73,1035
103,103,A,15.82,910
104,104,A,15.18,1115
105,105,B,15.65,1127
106,106,B,13.86,1135
107,107,A,14.07,1149
108,108,B,13.41,1067
109,109,A,11.54,1133
110,110,C,10.91,1015
111,111,A,9.72,1130
112,112,C,14.01,982
113,113,B,10.56,969
114,114,A,9.09,1125
115,115,C,9.23,1138
116,116,C,17.31,921
117,117,B,15.43,958
118,118,A,17.28,1178
119,119,C,16.87,972
120,120,B,8.17,1060
121,121,A,8.8,1066
122,122,B,12.67,1108
123,123,A,14.71,945
124,124,C,12.84,1082
125,125,B,13.81,929
126,126,B,9.78,958
127,127,A,10.11,1115
128,128,C,8.82,1041
129,129,reject,12.43,1012
130,130,B,13.6,914
131,131,B,8.37,920
132,132,B,17.63,1179
133,133,C,15.15,1025
134,134,C,16.56,939
135,135,B,12.96,956
136,136,B,16.49,1028
137,137,A,15.75,991
138,138,reject,17.14,1014
139,139,B,12.51,1046
140,140,B,9.73,1115
141,141,A,10.67,907
142,142,B,16.82,903
143,143,A,11.61,1017
144,144,C,13.38,1165
145,145,A,8.28,1064
146,146,A,10.8,1001
147,147,B,8.77,1168
148,148,reject,10.51,1100
149,149,A,9.65,1180
150,150,A,16.08,917
151,151,A,8.98,989
152,152,A,12.91,1093
153,153,A,13.19,1011
154,154,A,10.38,1035
155,155,A,16.67,986
156,156,B,15.98,1053
157,157,reject,16.36,1163
158,158,A,8.05,1027
159,159,B,10.14,1199
160,160,C,16.28,988
161,161,A,14.56,1111
162,162,C,11.87,1064
163,163,A,17.32,1088
164,164,B,16.94,1031
165,165,B,15.2,1163
166,166,C,12.14,1149
167,167,reject,14.79,1087
168,168,C,12.49,931
169,169,C,16.33,1175
170,170,C,17.96,1101
171,171,B,11.36,1178
172,172,B,15.56,1196
173,173,B,15.25,1047
174,174,B,14.36,1084
175,175,B,9.14,1070
176,176,A,11.8,1026
177,177,C,16.9,1105
178,178,B,14.49,1164
179,179,B,17.87,989
180,180,C,11.85,1109
181,181,B,17.73,1092
182,182,B,16.1,990
183,183,A,16.51,985
184,184,C,9.27,1151
185,185,C,16.8,979
186,186,C,16.96,1186
187,187,B,12.49,967
188,188,A,12.7,1103
189,189,C,16.05,960
190,190,reject,11.9,1156
191,191,A,14.61,1006
192,192,reject,10.76,1164
193,193,B,11.36,953
194,194,C,11.41,1021
195,195,C,15.54,951
196,196,B,17.1,1065
197,197,A,17.8,975
198,198,A,11.09,1087
199,199,A,9.58,1091
200,200,B,12.61,937
201,201,C,11.2,1031
202,202,B,16.46,1026
203,203,B,9.71,1187
204,204,B,16.83,1118
205,205,B,12.8,1034
206,206,reject,12.0,1081
207,207,C,16.54,1132
208,208,reject,8.12,1023
209,209,B,15.07,1043
210,210,B,9.13,1141
211,211,A,13.0,919
212,212,A,17.57,1118
213,213,B,12.98,979
214,214,B,17.85,938
215,215,B,11.15,1055
216,216,A,13.42,1063
217,217,A,17.23,1013
218,218,reject,13.79,1094
219,219,C,12.75,916
220,220,A,14.92,917
221,221,A,12.05,1176
222,222,B,8.18,1101
223,223,A,12.04,1145
224,224,C,11.53,965
225,225,B,10.82,1021
226,226,C,16.26,1059
227,227,A,10.87,1074
228,228,A,15.77,963
229,229,B,8.58,1091
230,230,A,17.54,963
231,231,C,11.97,1117
232,232,B,16.39,962
233,233,A,8.96,1173
234,234,reject,15.66,941
235,235,reject,11.62,949
236,236,C,16.27,1149
237,237,C,9.18,1057
238,238,A,15.38,939
239,239,A,16.5,1045
240,240,C,17.19,989
241,241,A,10.05,1190
242,242,A,17.17,939
243,243,B,15.64,1109
244,244,C,15.85,984
245,245,A,12.98,1175
246,246,A,10.61,1111
247,247,C,14.5,1020
248,248,B,10.75,1146
249,249,A,9.31,963
250,250,A,8.26,1073
251,251,C,11.46,942
252,252,A,8.61,1156
253,253,C,11.13,1010
254,254,C,12.35,961
255,255,A,12.02,965
256,256,A,9.08,1021
257,257,A,11.78,1186
258,258,B,13.22,950
259,259,B,14.01,1064
260,260,B,9.82,1180
261,261,B,14.03,1039
262,262,B,8.45,964
263,263,A,16.32,1049
264,264,C,10.08,1160
265,265,A,12.13,901
266,266,B,11.52,1151
267,267,A,12.05,1051
268,268,A,9.15,954
269,269,C,13.06,1008
270,270,B,14.44,1048
271,271,B,12.98,1160
272,272,reject,11.6,1013
273,273,B,9.52,1029
274,274,B,10.86,1072
275,275,C,15.58,914
276,276,A,15.1,1151
277,277,reject,11.89,1179
278,278,A,15.78,943
279,279,A,12.04,963
280,280,B,17.13,917
281,281,A,16.98,1125
282,282,A,8.59,938
283,283,reject,14.71,1030
284,284,A,13.32,960
285,285,A,11.48,1132
286,286,B,10.12,1090
287,287,B,17.4,955
288,288,A,17.55,1066
289,289,A,11.98,1024
290,290,B,10.46,1033
291,291,C,16.14,941
292,292,A,9.86,1118
293,293,C,15.98,1175
294,294,B,15.11,1170
295,295,A,14.58,1165
296,296,B,8.67,945
297,297,C,10.83,940
298,298,C,15.52,1160
299,299,A,17.15,965
300,300,A,11.02,1112
301,301,A,13.08,1147
302,302,A,13.74,1061
303,303,B,13.18,922
304,304,A,10.83,1172
305,305,A,11.53,1079
306,306,A,17.65,1003
307,307,B,8.59,1177
308,308,A,10.32,950
309,309,B,14.37,1033
310,310,C,10.25,1034
311,311,A,12.95,1032
312,312,B,13.28,1041
313,313,B,8.56,1162
314,314,A,16.27,1012
315,315,B,11.11,1110
316,316,A,15.64,957
317,317,A,15.64,959
318,318,reject,15.74,1130
319,319,A,13.12,962
320,320,B,11.43,1036
321,321,B,8.05,1150
322,322,B,8.58,1189
323,323,A,15.52,912
324,324,A,16.91,1180
325,325,A,12.53,1121
326,326,C,16.95,1163
327,327,A,15.91,1121
328,328,B,12.26,1146
329,329,A,11.8,1127
330,330,A,11.2,1009
331,331,B,11.41,902
332,332,B,15.21,1004
333,333,A,11.51,918
334,334,C,16.18,1164
335,335,B,9.36,1194
336,336,A,15.2,1125
337,337,A,12.69,1090
338,338,B,13.92,935
339,339,C,12.87,1155
340,340,B,15.06,1074
341,341,B,12.23,1170
342,342,reject,10.9,1076
343,343,reject,9.24,1132
344,344,B,8.11,1190
345,345,B,10.69,1029
346,346,C,14.78,1114
347,347,C,11.51,1117
348,348,A,11.52,1045
349,349,B,10.72,1141
350,350,C,16.61,1070
351,351,C,11.3,940
352,352,C,10.03,1142
353,353,C,15.07,1048
354,354,B,11.37,984
355,355,C,15.65,998
356,356,B,8.49,1180
357,357,A,13.97,957
358,358,B,8.22,1041
359,359,B,9.44,1142
360,360,A,11.84,1113
361,361,B,9.72,1162
