route_id,route_name,origin_location_id,destination_location_id,distance_km
1,Route 001,6827,2804,826.74
2,Route 002,6640,4346,871.96
3,Route 003,4278,601,377.92
4,Route 004,6090,6165,159.54
5,Route 005,6781,6635,617.79
6,Route 006,3915,6130,556.47
7,Route 007,2668,4128,885.73
8,Route 008,2159,1452,738.08
9,Route 009,71,7004,747.03
10,Route 010,2620,4601,321.57
11,Route 011,1026,1069,20.9
12,Route 012,5933,218,884.22
13,Route 013,5636,4724,915.89
14,Route 014,6401,389,733.0
15,Route 015,3180,4336,93.11
16,Route 016,6316,5872,447.69
17,Route 017,4115,2736,629.07
18,Route 018,6743,3714,508.34
19,Route 019,6887,6061,82.72
20,Route 020,7114,673,424.57
21,Route 021,1388,5711,708.49
22,Route 022,5001,5839,198.02
23,Route 023,6093,6336,679.43
24,Route 024,4450,6128,698.11
25,Route 025,3420,4007,242.25
26,Route 026,702,1154,340.87
27,Route 027,805,678,148.75
28,Route 028,4944,6884,922.34
29,Route 029,7008,3391,811.03
30,Route 030,339,5293,157.65
31,Route 031,2665,1274,857.19
32,Route 032,5798,6123,573.84
33,Route 033,1825,7115,209.75
34,Route 034,1143,3825,691.83
35,Route 035,473,1893,103.36
36,Route 036,3292,928,674.22
37,Route 037,6629,216,560.41
38,Route 038,4000,1687,529.38
39,Route 039,707,7146,482.84
40,Route 040,6226,5417,883.84
