leg_id,shipment_id,vehicle_id,driver_id,departure_time,arrival_time
1,1,41,60,2024-06-30T07:00:00,2024-07-01T10:41:43.107545
2,2,126,128,2025-02-02T20:00:00,2025-02-04T01:12:39.286761
3,3,46,104,2025-03-14T16:00:00,2025-03-14T23:26:39.423434
4,4,300,56,2024-06-01T06:00:00,2024-06-01T20:21:09.524972
5,5,241,85,2024-04-10T06:00:00,2024-04-11T09:01:02.358774
6,6,181,245,2025-08-10T16:00:00,2025-08-11T20:37:29.916505
7,6,60,221,2026-01-10T13:00:00,2026-01-11T06:27:53.702556
8,7,215,166,2026-03-09T15:00:00,2026-03-10T05:56:38.873084
9,8,301,120,2025-05-22T12:00:00,2025-05-23T15:20:55.015894
10,9,29,188,2024-12-28T15:00:00,2024-12-28T19:58:38.471660
11,10,115,270,2024-09-02T08:00:00,2024-09-03T07:55:23.228193
12,11,298,194,2024-04-14T19:00:00,2024-04-15T07:56:26.225388
13,12,30,75,2026-06-24T05:00:00,2026-06-24T08:12:25.910802
14,13,208,57,2026-05-15T16:00:00,2026-05-16T16:10:01.472529
15,13,119,169,2026-05-06T12:00:00,2026-05-06T17:49:01.044630
16,14,53,267,2025-01-19T10:00:00,2025-01-19T12:31:57.581935
17,15,235,4,2026-02-18T06:00:00,2026-02-19T10:19:56.256825
18,15,43,229,2025-01-16T12:00:00,2025-01-17T16:59:16.259104
19,16,193,26,2026-02-24T16:00:00,2026-02-25T09:11:15.445923
20,16,231,202,2025-03-24T16:00:00,2025-03-25T15:43:14.859160
21,17,122,191,2024-05-27T09:00:00,2024-05-27T16:33:52.017712
22,18,102,257,2024-10-13T06:00:00,2024-10-13T23:08:09.034802
23,19,188,39,2025-09-18T12:00:00,2025-09-19T14:21:57.550318
24,20,284,167,2025-11-30T09:00:00,2025-11-30T17:55:05.679307
25,21,171,99,2025-02-11T09:00:00,2025-02-11T15:11:47.171941
26,22,133,199,2024-01-31T12:00:00,2024-02-01T11:14:20.408474
27,23,206,244,2026-01-01T09:00:00,2026-01-02T07:21:27.313013
28,24,264,43,2025-09-08T12:00:00,2025-09-09T15:19:34.089404
29,24,87,205,2026-03-21T08:00:00,2026-03-21T20:34:18.293874
30,25,72,108,2025-08-23T18:00:00,2025-08-24T18:51:58.318597
31,25,152,154,2026-01-10T13:00:00,2026-01-11T07:39:50.155487
32,26,198,208,2024-08-31T14:00:00,2024-09-01T10:20:01.499545
33,27,75,253,2026-03-03T17:00:00,2026-03-04T04:43:07.070165
34,28,302,240,2025-09-17T07:00:00,2025-09-18T12:32:08.709797
35,29,9,73,2024-08-27T15:00:00,2024-08-28T12:18:25.411370
36,30,147,259,2025-04-22T09:00:00,2025-04-22T16:22:38.528605
37,31,101,260,2025-03-22T06:00:00,2025-03-23T11:51:18.045945
38,32,114,77,2026-05-27T14:00:00,2026-05-28T02:24:12.954704
39,33,252,132,2025-09-21T13:00:00,2025-09-22T04:28:35.931873
40,34,108,180,2024-02-29T19:00:00,2024-03-01T22:54:43.637025
41,34,96,33,2024-07-28T07:00:00,2024-07-28T22:35:42.730918
42,35,258,206,2024-05-31T16:00:00,2024-06-01T06:46:03.787608
43,36,110,159,2024-05-07T11:00:00,2024-05-08T15:01:09.000078
44,37,260,106,2025-05-15T07:00:00,2025-05-16T00:21:39.637960
45,38,15,148,2024-01-09T20:00:00,2024-01-10T10:09:10.103871
46,39,24,185,2025-03-16T16:00:00,2025-03-17T09:09:58.574204
47,40,194,210,2025-02-23T15:00:00,2025-02-24T19:09:07.287625
48,41,87,256,2026-04-12T09:00:00,2026-04-12T12:21:43.055518
