shipment_id,origin_location_id,destination_location_id,client_type,status
1,4207,1017,external,delivered
2,4460,5223,external,scheduled
3,1895,5260,internal,delivered
4,5150,3004,external,in_transit
5,6356,2819,internal,delivered
6,595,338,external,delivered
7,4936,2920,internal,scheduled
8,5072,5755,external,delivered
9,843,6051,internal,delivered
10,510,7058,external,delayed
11,5548,4216,external,scheduled
12,3673,97,internal,scheduled
13,6856,6783,external,delivered
14,4753,5598,internal,in_transit
15,4902,5208,external,delivered
16,6145,3754,external,delivered
17,3446,153,internal,in_transit
18,5164,5656,external,delivered
19,5084,6420,internal,delivered
20,5443,6134,internal,delivered
21,6077,6766,internal,delivered
22,1647,6200,internal,delayed
23,6755,958,external,delivered
24,5124,681,internal,delivered
25,5736,6389,external,in_transit
26,3634,5782,internal,in_transit
27,4046,2223,internal,delivered
28,2507,6744,external,delivered
29,2917,4152,external,scheduled
30,788,4802,internal,in_transit
31,1863,6,internal,delivered
32,5737,4988,external,in_transit
33,3611,3157,external,delivered
34,370,3436,internal,delivered
35,1351,477,internal,delivered
36,3940,4987,internal,delivered
37,4662,4091,external,delivered
38,1926,936,external,scheduled
39,4226,1715,internal,delivered
40,3147,3686,internal,delivered
41,4640,5572,internal,delivered
42,1476,6013,internal,scheduled
43,3039,6691,internal,in_transit
44,188,4965,external,delivered
45,1602,5040,internal,in_transit
46,4144,5961,internal,delivered
47,2334,4652,external,delivered
48,6963,1206,internal,delivered
49,6828,6196,internal,delivered
50,4755,2863,external,in_transit
51,1184,4647,internal,in_transit
52,6579,2031,internal,delivered
53,152,1989,internal,delivered
54,2015,4364,internal,delivered
55,4024,5003,internal,in_transit
56,5201,3876,internal,delayed
57,3947,3597,internal,delivered
58,2789,6621,external,delivered
59,860,890,external,in_transit
60,2410,5144,external,scheduled
61,3029,5695,external,delivered
62,4167,5954,external,delivered
63,281,2629,external,delivered
64,1167,5201,external,delivered
65,92,3947,external,delivered
66,5290,492,internal,delivered
67,2722,5630,external,delayed
68,5551,251,external,delivered
69,2821,6908,external,in_transit
70,2084,2147,internal,delivered
71,4395,4082,internal,delayed
72,6065,2968,external,delivered
73,3890,2650,external,delivered
74,4897,6322,internal,delivered
75,951,6236,external,delayed
76,5106,6883,external,in_transit
77,1161,842,internal,delivered
78,2466,6059,internal,delivered
