store_id,location_id,store_format,opening_date,manager_employee_id
1,1,standard,2014-04-28,119
2,2,standard,2014-04-01,434
3,3,express,2017-01-15,133
4,4,standard,2023-02-12,339
5,5,standard,2016-10-08,256
6,6,standard,2010-08-15,219
7,7,flagship,2013-08-13,177
8,8,express,2016-10-14,355
9,9,express,2016-08-21,298
10,10,express,2018-12-07,67
11,11,standard,2010-06-15,118
12,12,standard,2023-12-30,268
13,13,flagship,2014-05-28,10
14,14,standard,2019-10-28,351
15,15,standard,2017-02-23,463
16,16,standard,2020-03-27,136
17,17,standard,2014-08-15,127
18,18,standard,2021-10-23,568
19,19,standard,2017-12-11,127
20,20,express,2015-05-05,412
21,21,standard,2023-08-17,31
22,22,standard,2010-01-17,25
23,23,standard,2010-01-06,524
24,24,standard,2019-11-18,525
25,25,standard,2015-09-26,354
26,26,standard,2016-09-22,232
27,27,online,2014-03-03,544
28,28,express,2017-06-20,295
29,29,standard,2010-06-28,222
30,30,express,2022-01-10,491
31,31,standard,2020-04-05,463
32,32,express,2018-10-06,499
33,33,standard,2021-02-04,337
34,34,express,2011-05-09,145
35,35,standard,2014-11-30,247
36,36,standard,2017-10-17,96
37,37,standard,2020-09-10,206
38,38,standard,2015-06-16,110
39,39,standard,2024-05-17,172
40,40,express,2013-01-29,566
41,41,standard,2013-04-26,266
42,42,standard,2016-03-09,101
43,43,standard,2020-06-26,61
44,44,flagship,2010-12-13,289
45,45,standard,2016-08-22,74
46,46,express,2022-03-04,135
47,47,standard,2014-12-03,249
48,48,online,2010-01-03,267
49,49,online,2016-10-26,111
50,50,express,2020-01-02,440
51,51,express,2017-01-02,231
52,52,standard,2011-12-23,405
53,53,standard,2020-02-08,377
54,54,standard,2010-10-25,569
55,55,standard,2022-08-01,53
56,56,flagship,2014-06-11,42
57,57,standard,2011-04-21,22
58,58,standard,2022-02-07,100
59,59,express,2013-08-06,260
60,60,express,2018-01-09,351
61,61,standard,2015-12-07,61
62,62,standard,2024-03-20,568
63,63,standard,2021-12-05,288
64,64,express,2015-11-16,344
65,65,standard,2013-10-15,584
66,66,standard,2018-09-07,468
67,67,standard,2013-11-14,355
68,68,standard,2020-12-04,526
