supplier_id,legal_name,supplier_type,primary_division_id,onboarding_date,status
1,Gilbert Farms,farmer,agricore,2017-01-06,active
2,Kirby Farms,farmer,agricore,2021-09-14,active
3,Glenn Farms,farmer,agricore,2022-03-07,active
4,Smith Farms,farmer,agricore,2023-03-27,active
5,Frost Farms,farmer,agricore,2024-01-29,active
6,White Farms,farmer,agricore,2021-05-10,active
7,Pacheco Farms,farmer,agricore,2025-01-02,active
8,Phillips Farms,farmer,agricore,2018-02-06,inactive
9,Freeman Farms,farmer,agricore,2021-04-10,active
10,Gonzales Farms,farmer,agricore,2020-04-03,active
11,Johnson Farms,farmer,agricore,2019-09-23,active
12,Smith Farms,farmer,agricore,2023-04-07,active
13,Jimenez Farms,farmer,agricore,2018-01-23,active
14,Miller Farms,farmer,agricore,2020-02-04,active
15,Cox Farms,farmer,agricore,2019-08-29,active
16,Porter Farms,farmer,agricore,2022-07-22,active
17,Perez Farms,farmer,agricore,2019-05-06,active
18,Watkins Farms,farmer,agricore,2024-09-19,active
19,Brown Farms,farmer,agricore,2018-04-13,active
20,Campos Farms,farmer,agricore,2019-11-10,active
21,Bailey Farms,farmer,agricore,2019-01-02,active
22,Werner Farms,farmer,agricore,2020-09-26,active
23,Neal Farms,farmer,agricore,2024-01-27,active
24,Underwood Farms,farmer,agricore,2020-11-20,active
25,Rice Farms,farmer,agricore,2022-06-25,active
26,Morris Farms,farmer,agricore,2021-12-17,active
27,Howard Farms,farmer,agricore,2018-02-22,active
28,Huynh Farms,farmer,agricore,2023-10-01,inactive
29,Middleton Farms,farmer,agricore,2025-03-31,active
30,Randall Farms,farmer,agricore,2017-06-11,active
31,Malone Farms,farmer,agricore,2025-11-03,active
32,Christian Farms,farmer,agricore,2019-08-01,active
33,Sanchez Farms,farmer,agricore,2025-01-29,active
34,Richmond Farms,farmer,agricore,2023-09-17,active
35,Huang Farms,farmer,agricore,2022-11-28,active
36,Ware Farms,farmer,agricore,2018-06-08,active
37,Perez Farms,farmer,agricore,2023-11-25,active
38,Durham Farms,farmer,agricore,2023-01-03,active
39,Torres Farms,farmer,agricore,2022-10-01,active
40,Matthews Farms,farmer,agricore,2019-02-13,active
41,Moss Farms,farmer,agricore,2020-10-22,active
42,Martinez Farms,farmer,agricore,2018-12-17,active
43,Smith Farms,farmer,agricore,2025-02-19,inactive
44,Watson Farms,farmer,agricore,2024-06-11,active
45,Brooks Farms,farmer,agricore,2017-03-27,active
46,Horne Farms,farmer,agricore,2024-10-06,active
47,Gray Farms,farmer,agricore,2022-04-30,active
48,Stevenson Farms,farmer,agricore,2019-01-06,active
49,Jackson Farms,farmer,agricore,2025-12-06,active
50,Wong Farms,farmer,agricore,2024-10-13,active
51,Cook Farms,farmer,agricore,2018-07-07,active
52,Baker Farms,farmer,agricore,2019-06-01,active
53,Crosby Farms,farmer,agricore,2020-02-28,active
54,Parker Farms,farmer,agricore,2023-06-11,active
55,King Farms,farmer,agricore,2018-02-04,active
56,Cole Farms,farmer,agricore,2019-09-02,active
57,Boone Farms,farmer,agricore,2020-02-25,active
58,Clark Farms,farmer,agricore,2019-07-11,active
59,Perry Farms,farmer,agricore,2018-11-07,active
60,Gonzalez Farms,farmer,agricore,2018-06-09,active
61,Meadows Farms,farmer,agricore,2021-08-20,active
62,Baldwin Farms,farmer,agricore,2023-08-07,active
63,Carey Farms,farmer,agricore,2025-02-14,active
64,Schwartz Farms,farmer,agricore,2018-02-07,active
65,Wilson Farms,farmer,agricore,2018-09-09,inactive
66,Rogers Farms,farmer,agricore,2025-10-04,active
67,Dennis Farms,farmer,agricore,2024-09-05,active
68,Smith Farms,farmer,agricore,2026-06-29,active
69,Rogers Farms,farmer,agricore,2017-06-23,active
70,Hoffman Farms,farmer,agricore,2022-03-06,active
71,Lynch Farms,farmer,agricore,2026-03-26,active
72,Fuller Farms,farmer,agricore,2024-01-19,active
73,Chung Farms,farmer,agricore,2018-12-03,active
74,Sanders Farms,farmer,agricore,2019-10-09,active
75,Miranda Farms,farmer,agricore,2021-03-21,active
76,Galvan Farms,farmer,agricore,2025-01-16,active
77,Mccoy Farms,farmer,agricore,2026-02-05,active
78,Woodward Farms,farmer,agricore,2022-08-17,active
79,Fritz Farms,farmer,agricore,2025-10-31,active
80,Thornton Farms,farmer,agricore,2017-08-15,active
81,Cline Farms,farmer,agricore,2023-02-12,active
82,Tate Farms,farmer,agricore,2022-12-27,active
83,Rojas Farms,farmer,agricore,2020-12-10,active
84,Martinez Farms,farmer,agricore,2019-12-26,active
85,Bentley Farms,farmer,agricore,2022-09-26,active
86,Rush Farms,farmer,agricore,2021-02-21,active
87,Webb Farms,farmer,agricore,2018-04-30,active
88,Copeland Farms,farmer,agricore,2022-03-01,active
89,Cooper Farms,farmer,agricore,2019-01-13,active
90,Lewis Farms,farmer,agricore,2025-10-29,inactive
91,Medina Farms,farmer,agricore,2018-12-25,active
92,Webb Farms,farmer,agricore,2026-03-01,active
93,Mooney Farms,farmer,agricore,2021-06-30,active
94,Garrett Farms,farmer,agricore,2018-11-30,active
95,Burton Farms,farmer,agricore,2021-06-22,suspended
96,Wiley Farms,farmer,agricore,2024-03-11,active
97,Simmons Farms,farmer,agricore,2017-08-03,active
98,Jordan Farms,farmer,agricore,2022-12-14,active
99,Moreno Farms,farmer,agricore,2019-08-02,active
100,Burnett Farms,farmer,agricore,2022-07-02,active
101,Little Farms,farmer,agricore,2019-01-19,active
102,Gutierrez Farms,farmer,agricore,2018-11-02,active
103,Campbell Farms,farmer,agricore,2024-09-10,active
104,Williams Farms,farmer,agricore,2021-09-20,active
105,Nguyen Farms,farmer,agricore,2026-05-25,active
106,Anderson Farms,farmer,agricore,2019-10-12,active
107,Bryant Farms,farmer,agricore,2021-05-12,inactive
108,Macias Farms,farmer,agricore,2017-11-24,active
109,Clark Farms,farmer,agricore,2018-08-17,suspended
110,Tucker Farms,farmer,agricore,2017-06-06,active
111,Sherman Farms,farmer,agricore,2017-01-06,active
112,Robinson Farms,farmer,agricore,2020-09-05,active
113,Carney Farms,farmer,agricore,2022-12-27,active
114,Clay Farms,farmer,agricore,2020-10-22,active
115,Santana Farms,farmer,agricore,2021-01-16,active
116,Valdez Farms,farmer,agricore,2025-09-09,active
117,Anderson Farms,farmer,agricore,2018-03-31,active
118,Montoya Farms,farmer,agricore,2018-09-25,active
119,Davila Farms,farmer,agricore,2018-09-06,active
120,Mayo Farms,farmer,agricore,2021-04-26,active
121,Barajas Farms,farmer,agricore,2021-08-26,active
122,May Farms,farmer,agricore,2025-11-10,inactive
123,Yates Farms,farmer,agricore,2021-04-25,active
124,Moore Farms,farmer,agricore,2017-06-15,active
125,Johnston Farms,farmer,agricore,2025-09-30,active
126,Smith Farms,farmer,agricore,2025-10-29,active
127,Davis Farms,farmer,agricore,2019-08-16,inactive
128,Johns Farms,farmer,agricore,2021-09-16,active
129,Garcia Farms,farmer,agricore,2018-11-16,active
130,Cruz Farms,farmer,agricore,2022-12-02,active
131,Huerta Farms,farmer,agricore,2018-09-13,active
132,Davis Farms,farmer,agricore,2026-02-27,active
133,Wright Farms,farmer,agricore,2021-01-08,active
134,Branch Farms,farmer,agricore,2018-08-09,active
135,Santos Farms,farmer,agricore,2025-10-19,active
136,Lozano Farms,farmer,agricore,2017-04-28,active
137,Davis Farms,farmer,agricore,2020-08-02,inactive
138,Roberts Farms,farmer,agricore,2020-06-06,active
139,Harris Farms,farmer,agricore,2023-05-13,active
140,Johnson Farms,farmer,agricore,2023-08-01,active
141,Mills Farms,farmer,agricore,2019-04-25,active
142,Hawkins Farms,farmer,agricore,2023-04-20,active
143,Smith Farms,farmer,agricore,2022-10-04,active
144,Wagner Farms,farmer,agricore,2017-11-21,active
145,Gomez Farms,farmer,agricore,2018-03-27,active
146,Jenkins Farms,farmer,agricore,2021-04-11,active
147,Cooper Farms,farmer,agricore,2017-10-23,active
148,Wood Farms,farmer,agricore,2019-01-11,inactive
149,Neal Farms,farmer,agricore,2021-06-06,active
150,Reid Farms,farmer,agricore,2023-05-09,active
151,Baker Farms,farmer,agricore,2018-09-27,active
152,Mitchell Farms,farmer,agricore,2017-06-15,active
153,White Farms,farmer,agricore,2019-02-15,active
154,Mccullough Farms,farmer,agricore,2020-08-13,active
155,Barr Farms,farmer,agricore,2019-02-19,active
156,Reyes Farms,farmer,agricore,2021-05-23,inactive
157,Bullock Farms,farmer,agricore,2022-11-15,active
158,Hall Farms,farmer,agricore,2021-11-21,active
159,Anderson Farms,farmer,agricore,2023-07-08,active
160,Anderson Farms,farmer,agricore,2025-09-28,active
161,Zuniga Farms,farmer,agricore,2026-02-08,suspended
162,Young Farms,farmer,agricore,2017-01-23,active
163,Willis Farms,farmer,agricore,2019-12-08,active
164,Pena Farms,farmer,agricore,2021-08-29,active
165,Cantu Farms,farmer,agricore,2019-02-16,inactive
166,Ortega Farms,farmer,agricore,2019-08-05,inactive
167,Randolph Farms,farmer,agricore,2020-07-31,active
168,Green Farms,farmer,agricore,2018-05-03,active
169,Krueger Farms,farmer,agricore,2024-11-08,suspended
170,Carter Farms,farmer,agricore,2023-12-08,active
171,Sparks Farms,farmer,agricore,2019-05-10,active
172,Harris Farms,farmer,agricore,2023-01-18,active
173,Walker Farms,farmer,agricore,2018-04-11,suspended
174,Stone Farms,farmer,agricore,2021-11-15,inactive
175,Peters Farms,farmer,agricore,2022-09-20,inactive
176,Hurst Farms,farmer,agricore,2021-09-29,active
177,Hernandez Farms,farmer,agricore,2019-09-02,active
178,Gomez Farms,farmer,agricore,2021-09-16,active
179,Hernandez Farms,farmer,agricore,2017-12-31,active
180,Stark Farms,farmer,agricore,2026-01-10,active
181,Graves Farms,farmer,agricore,2021-12-23,active
182,Burgess Farms,farmer,agricore,2024-11-20,active
183,Rhodes Farms,farmer,agricore,2018-11-13,active
184,Peters Farms,farmer,agricore,2022-08-23,active
185,Hanna Farms,farmer,agricore,2021-12-31,active
186,Romero Farms,farmer,agricore,2025-01-18,active
187,Gordon Farms,farmer,agricore,2023-06-06,inactive
188,Brown Farms,farmer,agricore,2018-05-19,active
189,Morales Farms,farmer,agricore,2022-01-04,active
190,Stevens Farms,farmer,agricore,2020-01-26,active
191,Freeman Farms,farmer,agricore,2017-12-09,active
192,Cherry Farms,farmer,agricore,2018-12-25,active
193,Walker Farms,farmer,agricore,2026-01-08,active
194,Clark Farms,farmer,agricore,2022-04-14,active
195,Lang Farms,farmer,agricore,2021-08-09,active
196,Gaines Farms,farmer,agricore,2020-10-13,inactive
197,Vasquez Farms,farmer,agricore,2019-03-15,active
198,Huff Farms,farmer,agricore,2023-09-11,active
199,Walton Farms,farmer,agricore,2025-03-18,inactive
200,Gutierrez Farms,farmer,agricore,2022-04-17,active
201,Gonzales Farms,farmer,agricore,2025-12-24,active
202,Shea Farms,farmer,agricore,2024-05-30,suspended
203,Jones Farms,farmer,agricore,2020-07-07,active
204,Scott Farms,farmer,agricore,2025-03-17,active
205,Hall Farms,farmer,agricore,2023-09-15,inactive
206,Davis Farms,farmer,agricore,2020-06-01,active
207,Williamson Farms,farmer,agricore,2022-12-12,active
208,Colon Farms,farmer,agricore,2018-10-19,active
209,Sanchez Farms,farmer,agricore,2019-08-15,active
210,Meyer Farms,farmer,agricore,2021-12-01,active
211,Knapp Farms,farmer,agricore,2017-04-25,active
212,Glover Farms,farmer,agricore,2022-04-02,inactive
213,Roman Farms,farmer,agricore,2021-04-06,active
214,Williams Farms,farmer,agricore,2019-02-10,active
215,Warner Farms,farmer,agricore,2018-06-24,active
216,Ballard Farms,farmer,agricore,2024-11-23,active
217,Caldwell Farms,farmer,agricore,2019-12-04,active
218,Turner Farms,farmer,agricore,2025-08-03,active
219,Knight Farms,farmer,agricore,2018-04-09,active
220,Edwards Farms,farmer,agricore,2017-04-04,inactive
221,Wood Farms,farmer,agricore,2020-02-08,active
222,Sims Farms,farmer,agricore,2022-06-20,active
223,Santiago Farms,farmer,agricore,2020-04-22,active
224,Oliver Farms,farmer,agricore,2023-11-28,suspended
225,Park Farms,farmer,agricore,2019-05-18,suspended
226,Walton Farms,farmer,agricore,2021-03-04,active
227,Rodriguez Farms,farmer,agricore,2018-05-30,active
228,Parker Farms,farmer,agricore,2017-03-10,active
229,Kirby Farms,farmer,agricore,2024-01-01,active
230,Brown Farms,farmer,agricore,2023-04-25,active
231,Ruiz Farms,farmer,agricore,2023-02-23,active
232,Carlson Farms,farmer,agricore,2023-01-05,active
233,Rowe Farms,farmer,agricore,2025-10-21,active
234,Moore Farms,farmer,agricore,2019-08-23,active
235,Hunter Farms,farmer,agricore,2017-10-10,active
236,Blake Farms,farmer,agricore,2026-03-16,active
237,Roberts Farms,farmer,agricore,2019-03-02,active
238,Stewart Farms,farmer,agricore,2021-11-04,active
239,Montes Farms,farmer,agricore,2024-04-18,active
240,Barnes Farms,farmer,agricore,2022-07-15,active
241,Stanley Farms,farmer,agricore,2023-04-12,active
242,Avery Farms,farmer,agricore,2021-04-15,active
243,Barnett Farms,farmer,agricore,2024-11-10,inactive
244,Adams Farms,farmer,agricore,2023-02-19,active
245,Boyer Farms,farmer,agricore,2024-07-01,active
246,Khan Farms,farmer,agricore,2021-03-31,suspended
247,Bennett Farms,farmer,agricore,2025-09-01,active
248,Stewart Farms,farmer,agricore,2025-08-23,active
249,Rodriguez Farms,farmer,agricore,2017-06-21,active
250,Klein Farms,farmer,agricore,2026-03-13,active
251,Scott Farms,farmer,agricore,2022-10-12,active
252,Cooper Farms,farmer,agricore,2022-04-21,active
253,Hancock Farms,farmer,agricore,2021-02-24,inactive
254,Park Farms,farmer,agricore,2024-05-01,active
255,Johnson Farms,farmer,agricore,2019-07-04,active
256,Mcguire Farms,farmer,agricore,2020-04-19,active
257,Shepard Farms,farmer,agricore,2019-07-08,active
258,Pope Farms,farmer,agricore,2025-01-24,active
259,Lawrence Farms,farmer,agricore,2023-11-05,active
260,Franco Farms,farmer,agricore,2019-06-16,active
261,Thomas Farms,farmer,agricore,2024-07-26,active
262,Huynh Farms,farmer,agricore,2025-06-18,active
263,Kelley Farms,farmer,agricore,2019-10-21,active
264,Watkins Farms,farmer,agricore,2018-09-27,active
265,Mcdaniel Farms,farmer,agricore,2021-12-20,active
266,Williams Farms,farmer,agricore,2025-04-05,active
267,White Farms,farmer,agricore,2018-03-26,active
268,Salazar Farms,farmer,agricore,2021-05-25,active
269,Harris Farms,farmer,agricore,2024-02-14,active
270,Parker Farms,farmer,agricore,2020-08-26,active
271,Brown Farms,farmer,agricore,2026-01-08,active
272,Wall Farms,farmer,agricore,2017-07-21,active
273,Nelson Farms,farmer,agricore,2024-04-04,active
274,Henderson Farms,farmer,agricore,2018-11-01,active
275,Webb Farms,farmer,agricore,2019-10-07,active
276,Williams Farms,farmer,agricore,2022-03-16,active
277,Jackson Farms,farmer,agricore,2022-06-23,active
