reference_id,farmer_id,loan_id,visible_summary_status
1,2842,1,closed
2,4539,2,current
3,3524,3,current
4,1794,4,overdue
5,4496,5,current
6,3620,6,closed
7,449,7,overdue
8,3681,8,current
9,4080,9,current
10,1329,10,current
11,3941,11,current
12,1739,12,current
13,561,13,closed
14,2781,14,current
15,4926,15,current
16,3799,16,closed
17,227,17,closed
18,1095,18,closed
19,3746,19,current
20,3968,20,current
21,2654,21,current
22,1090,22,current
23,3679,23,closed
24,4325,24,current
25,2776,25,current
26,4161,26,closed
27,4210,27,overdue
28,2006,28,overdue
29,5319,29,closed
30,1182,30,current
31,3937,31,closed
32,3523,32,current
33,4563,33,current
34,251,34,closed
35,5032,35,current
36,92,36,current
37,2784,37,closed
38,685,38,current
39,1518,39,current
40,5148,40,closed
41,3957,41,overdue
42,3165,42,current
43,5233,43,current
44,2607,44,current
45,3802,45,current
46,4391,46,closed
47,4781,47,closed
48,5367,48,current
49,5420,49,current
50,768,50,closed
51,4436,51,current
52,5414,52,closed
53,2866,53,current
54,604,54,current
55,1045,55,current
56,3567,56,closed
57,2609,57,closed
58,5415,58,closed
59,1898,59,current
60,4793,60,current
61,959,61,overdue
62,1019,62,current
63,4986,63,current
64,2665,64,current
65,4538,65,closed
66,2849,66,overdue
67,1665,67,closed
68,4313,68,current
69,1919,69,overdue
70,1068,70,current
71,5494,71,current
72,3074,72,closed
73,2629,73,current
74,542,74,current
75,3429,75,closed
76,1094,76,current
77,2961,77,current
78,3013,78,current
79,5133,79,overdue
80,567,80,closed
81,2950,81,closed
82,4475,82,current
83,3779,83,current
84,4766,84,current
85,2420,85,current
86,4174,86,closed
87,5427,87,closed
88,2777,88,current
89,3451,89,current
90,3704,90,current
91,2477,91,closed
92,1229,92,current
93,4331,93,closed
94,4307,94,current
95,948,95,closed
96,3550,96,closed
97,462,97,current
98,5228,98,current
99,4277,99,closed
100,5431,100,closed
101,1218,101,current
102,1976,102,closed
103,1472,103,current
104,1512,104,current
105,5245,105,current
106,4215,106,closed
107,3636,107,current
108,4639,108,closed
109,1962,109,closed
110,1457,110,closed
111,4491,111,current
112,1562,112,closed
113,3952,113,closed
114,5285,114,current
115,2121,115,closed
116,4600,116,overdue
117,2026,117,current
118,704,118,current
119,4122,119,current
120,1971,120,current
121,2968,121,closed
122,3724,122,current
123,1307,123,current
124,3161,124,current
125,1030,125,current
126,4564,126,closed
127,1008,127,current
128,4779,128,current
129,4932,129,closed
130,5304,130,current
131,3961,131,closed
132,4860,132,current
133,5399,133,current
134,3582,134,current
135,4418,135,overdue
136,4714,136,current
137,1448,137,current
138,4510,138,closed
139,2804,139,overdue
140,2724,140,closed
141,5227,141,current
142,3268,142,closed
143,2130,143,closed
144,3155,144,current
145,1694,145,overdue
146,2192,146,overdue
147,4157,147,current
148,2895,148,current
149,548,149,current
150,2141,150,closed
151,3448,151,current
152,893,152,current
153,2683,153,closed
154,5200,154,closed
155,741,155,closed
156,198,156,current
157,1731,157,closed
158,2778,158,current
159,1211,159,current
160,4910,160,current
161,4051,161,closed
162,268,162,closed
163,2876,163,current
164,2395,164,current
165,2664,165,current
166,4213,166,closed
167,2224,167,closed
168,1057,168,current
169,3178,169,current
170,5346,170,current
171,1946,171,current
172,5400,172,current
173,4883,173,current
174,4671,174,closed
175,4717,175,current
176,1543,176,overdue
177,985,177,closed
178,2451,178,current
179,4529,179,current
180,2807,180,current
181,2554,181,current
182,4350,182,current
183,59,183,current
184,2091,184,current
185,4059,185,current
186,4998,186,closed
187,5379,187,current
188,5512,188,closed
189,4522,189,current
190,4085,190,closed
191,3071,191,current
192,2411,192,current
193,2457,193,closed
194,5223,194,closed
195,517,195,closed
196,1335,196,overdue
197,820,197,closed
198,2579,198,current
199,1097,199,current
200,1517,200,closed
201,4434,201,current
202,458,202,current
203,2716,203,current
204,2623,204,current
205,3723,205,current
206,3774,206,current
207,2450,207,closed
208,3580,208,closed
209,4365,209,current
210,3625,210,current
211,616,211,closed
212,5178,212,current
213,2521,213,current
214,4758,214,current
215,639,215,current
216,2007,216,closed
217,2041,217,overdue
218,3467,218,current
219,5336,219,overdue
220,3569,220,closed
221,4688,221,closed
222,1530,222,current
223,2200,223,closed
224,795,224,current
225,3932,225,current
226,5455,226,closed
227,472,227,closed
228,3870,228,current
229,5197,229,current
230,3472,230,current
231,4801,231,closed
232,3511,232,closed
233,4317,233,overdue
234,19,234,closed
235,652,235,current
236,447,236,closed
237,4248,237,closed
238,2150,238,closed
239,5447,239,overdue
240,3324,240,closed
241,4206,241,overdue
242,2325,242,closed
243,3760,243,overdue
244,2063,244,closed
245,2715,245,current
246,5246,246,current
247,4674,247,closed
248,3573,248,current
249,1568,249,closed
250,3589,250,current
251,2843,251,closed
252,450,252,current
253,4892,253,current
254,2425,254,current
255,3841,255,closed
256,2511,256,current
257,4321,257,current
258,4359,258,closed
259,151,259,closed
260,3744,260,overdue
261,679,261,current
262,4378,262,current
263,1172,263,current
264,3491,264,current
265,2351,265,closed
266,2213,266,current
267,4992,267,closed
268,2531,268,current
269,4024,269,current
270,3740,270,current
271,4599,271,closed
272,902,272,current
273,849,273,current
274,3284,274,closed
275,4750,275,closed
276,2011,276,current
277,414,277,overdue
278,3257,278,current
279,1354,279,closed
280,5421,280,closed
281,3588,281,current
282,7,282,closed
283,2945,283,overdue
284,3768,284,current
285,177,285,current
286,545,286,current
287,1759,287,current
288,4648,288,current
289,3311,289,current
290,2633,290,current
291,1810,291,overdue
292,1404,292,current
293,4404,293,closed
294,4250,294,overdue
295,62,295,closed
296,5192,296,closed
297,1209,297,closed
298,3855,298,current
299,3976,299,closed
300,1433,300,current
301,3680,301,current
302,1596,302,current
303,1160,303,current
304,3114,304,closed
305,1974,305,closed
306,1967,306,current
307,1042,307,closed
308,5174,308,current
309,2568,309,current
310,2253,310,current
311,1205,311,current
312,4549,312,closed
313,3414,313,current
314,1760,314,closed
315,2618,315,current
316,3973,316,current
317,2089,317,current
318,2165,318,current
319,3483,319,current
320,1234,320,current
321,2333,321,current
322,171,322,closed
323,1816,323,current
324,1908,324,closed
325,5395,325,current
326,1202,326,current
327,906,327,current
328,5462,328,closed
329,2705,329,current
330,5311,330,closed
331,2016,331,current
332,822,332,current
333,4811,333,overdue
334,3379,334,closed
335,4931,335,closed
336,2517,336,closed
337,1763,337,current
338,5316,338,current
339,4943,339,current
340,4961,340,current
341,276,341,current
342,2814,342,current
343,1499,343,current
344,707,344,current
345,2129,345,current
346,3034,346,current
347,3121,347,current
348,4410,348,current
349,2140,349,current
350,5103,350,closed
351,389,351,closed
352,2594,352,closed
353,601,353,closed
354,3152,354,overdue
355,799,355,current
356,4269,356,closed
357,2055,357,closed
358,4403,358,closed
359,2347,359,overdue
360,2674,360,current
361,187,361,closed
362,156,362,current
363,3642,363,current
364,3199,364,current
365,3868,365,closed
366,4348,366,current
367,1724,367,current
368,5126,368,closed
369,47,369,closed
370,4516,370,current
371,2247,371,overdue
372,2806,372,closed
373,340,373,current
374,4643,374,current
375,4844,375,current
376,2525,376,current
377,3546,377,closed
378,5402,378,current
379,1637,379,current
380,2490,380,overdue
381,1839,381,current
382,4068,382,current
383,4728,383,current
384,3975,384,closed
385,3250,385,current
386,5430,386,closed
387,2628,387,closed
388,1480,388,closed
389,11,389,closed
390,5129,390,closed
391,3945,391,current
392,4966,392,closed
393,3006,393,closed
394,5049,394,current
395,2105,395,current
396,2025,396,current
397,533,397,closed
398,5361,398,closed
399,1315,399,closed
400,1473,400,closed
401,4357,401,closed
402,1818,402,closed
403,2142,403,current
404,5501,404,closed
405,4940,405,closed
406,4295,406,current
407,1907,407,current
408,4677,408,current
409,2107,409,overdue
410,1540,410,current
411,506,411,closed
412,737,412,current
413,2988,413,current
414,1829,414,closed
415,3159,415,closed
416,3012,416,overdue
417,3137,417,current
418,13,418,current
419,595,419,current
420,3879,420,closed
421,4364,421,closed
422,5485,422,current
423,4904,423,current
424,5001,424,closed
425,4100,425,current
426,4065,426,overdue
427,2826,427,current
428,3901,428,closed
429,1689,429,closed
430,3170,430,current
431,1506,431,current
432,4527,432,closed
433,877,433,current
434,1406,434,closed
435,3089,435,current
436,5600,436,current
437,2469,437,current
438,3858,438,current
439,3770,439,closed
440,3201,440,closed
441,4615,441,current
442,2316,442,closed
443,1365,443,closed
444,1515,444,current
445,521,445,current
446,2995,446,closed
447,4316,447,current
448,3423,448,current
449,390,449,current
450,4286,450,closed
451,4053,451,current
452,4824,452,closed
453,4111,453,closed
454,1693,454,current
455,437,455,current
456,847,456,current
457,398,457,current
458,2377,458,current
459,318,459,closed
460,2475,460,closed
461,1863,461,closed
462,281,462,current
463,3712,463,closed
464,2068,464,current
465,1799,465,closed
466,4825,466,closed
467,4569,467,current
468,5132,468,current
469,184,469,closed
470,2538,470,closed
471,1120,471,current
472,3440,472,overdue
473,4536,473,closed
474,100,474,current
475,1072,475,current
476,5186,476,current
477,589,477,closed
478,4819,478,current
479,1255,479,current
480,4653,480,current
481,4211,481,current
482,1464,482,current
483,5281,483,closed
484,5323,484,current
485,3950,485,closed
486,2133,486,current
487,4876,487,current
488,1055,488,current
489,1011,489,current
490,965,490,overdue
491,4131,491,current
