farmer_id,supplier_id,registration_date,cooperative_name
1,1,2017-01-18,
2,2,2019-08-20,Kaduna Farmers Cooperative
3,3,2024-05-24,Ibadan Farmers Cooperative
4,4,2023-04-19,Kumasi Farmers Cooperative
5,5,2016-11-13,Kaduna Farmers Cooperative
6,6,2018-10-28,Uyo Farmers Cooperative
7,7,2017-05-24,Kaduna Farmers Cooperative
8,8,2023-03-11,Ibadan Farmers Cooperative
9,9,2016-08-12,
10,10,2019-05-01,Uyo Farmers Cooperative
11,11,2019-10-30,Kumasi Farmers Cooperative
12,12,2015-11-14,
13,13,2018-11-22,
14,14,2023-01-24,
15,15,2020-04-16,
16,16,2016-01-14,
17,17,2021-04-12,
18,18,2020-10-24,Uyo Farmers Cooperative
19,19,2018-02-11,
20,20,2017-04-07,Nakuru Farmers Cooperative
21,21,2023-12-18,Benue Farmers Cooperative
22,22,2016-07-02,
23,23,2025-05-20,Kumasi Farmers Cooperative
24,24,2023-02-01,Nakuru Farmers Cooperative
25,25,2015-04-15,Uyo Farmers Cooperative
26,26,2018-04-13,
27,27,2026-04-08,Enugu Farmers Cooperative
28,28,2025-10-17,
29,29,2016-10-20,Kumasi Farmers Cooperative
30,30,2016-05-19,Kaduna Farmers Cooperative
31,31,2018-10-19,
32,32,2015-06-12,Nakuru Farmers Cooperative
33,33,2021-03-28,Benue Farmers Cooperative
34,34,2020-12-20,
35,35,2022-07-16,Kaduna Farmers Cooperative
36,36,2021-11-08,Benue Farmers Cooperative
37,37,2017-10-23,Ibadan Farmers Cooperative
38,38,2015-01-19,Enugu Farmers Cooperative
39,39,2020-03-23,
40,40,2019-07-15,Enugu Farmers Cooperative
41,41,2024-06-21,Kumasi Farmers Cooperative
42,42,2022-05-23,
43,43,2019-10-28,
44,44,2016-01-16,
45,45,2015-04-22,Uyo Farmers Cooperative
46,46,2020-09-10,Kumasi Farmers Cooperative
47,47,2023-06-13,Kaduna Farmers Cooperative
48,48,2023-12-20,Kaduna Farmers Cooperative
49,49,2021-10-10,
50,50,2018-04-16,Enugu Farmers Cooperative
51,51,2021-02-23,Uyo Farmers Cooperative
52,52,2024-07-30,
53,53,2025-12-20,Kaduna Farmers Cooperative
54,54,2024-06-16,Kaduna Farmers Cooperative
55,55,2016-02-01,
56,56,2023-05-20,
57,57,2021-05-16,
58,58,2025-02-10,Nakuru Farmers Cooperative
59,59,2017-03-18,
60,60,2022-07-23,
61,61,2021-10-26,Nakuru Farmers Cooperative
62,62,2025-12-01,Kaduna Farmers Cooperative
63,63,2023-12-13,
64,64,2025-09-11,Benue Farmers Cooperative
65,65,2017-11-04,
66,66,2015-06-02,
67,67,2025-01-17,Uyo Farmers Cooperative
68,68,2019-10-01,Ibadan Farmers Cooperative
69,69,2025-12-13,
70,70,2021-12-08,
71,71,2024-08-19,Kaduna Farmers Cooperative
72,72,2015-12-02,Kaduna Farmers Cooperative
73,73,2021-01-29,Enugu Farmers Cooperative
74,74,2017-02-16,Nakuru Farmers Cooperative
75,75,2021-11-20,Kaduna Farmers Cooperative
76,76,2025-04-24,
77,77,2021-08-25,Kumasi Farmers Cooperative
78,78,2015-06-28,Uyo Farmers Cooperative
79,79,2022-10-27,Enugu Farmers Cooperative
80,80,2022-05-22,Uyo Farmers Cooperative
81,81,2017-04-09,
82,82,2025-10-01,Uyo Farmers Cooperative
83,83,2025-03-04,Enugu Farmers Cooperative
84,84,2022-11-24,Kumasi Farmers Cooperative
85,85,2023-04-20,
86,86,2016-09-23,Kumasi Farmers Cooperative
87,87,2016-11-06,
88,88,2023-09-10,Uyo Farmers Cooperative
89,89,2023-08-24,Benue Farmers Cooperative
90,90,2017-07-26,Ibadan Farmers Cooperative
91,91,2022-03-16,Uyo Farmers Cooperative
92,92,2023-09-10,
93,93,2020-08-12,
94,94,2017-07-05,
95,95,2021-03-08,
96,96,2025-10-20,Ibadan Farmers Cooperative
97,97,2022-02-26,Kumasi Farmers Cooperative
98,98,2023-08-18,
99,99,2022-06-25,
100,100,2015-03-10,Uyo Farmers Cooperative
101,101,2020-02-27,
102,102,2021-05-16,Enugu Farmers Cooperative
103,103,2024-11-29,
104,104,2015-06-16,
105,105,2018-11-25,Enugu Farmers Cooperative
106,106,2025-12-19,Uyo Farmers Cooperative
107,107,2018-07-07,
108,108,2015-10-19,
109,109,2021-05-22,Uyo Farmers Cooperative
110,110,2017-01-18,Nakuru Farmers Cooperative
111,111,2024-07-24,
112,112,2022-02-08,Kumasi Farmers Cooperative
113,113,2015-04-29,Ibadan Farmers Cooperative
114,114,2015-05-08,
115,115,2023-04-10,Uyo Farmers Cooperative
116,116,2023-10-08,
117,117,2021-03-03,
118,118,2024-02-07,Uyo Farmers Cooperative
119,119,2019-03-09,Nakuru Farmers Cooperative
120,120,2025-12-13,
121,121,2015-09-14,
122,122,2019-03-29,Ibadan Farmers Cooperative
123,123,2020-07-22,Kumasi Farmers Cooperative
124,124,2020-05-16,
125,125,2019-06-14,Ibadan Farmers Cooperative
126,126,2026-06-05,Enugu Farmers Cooperative
127,127,2016-11-11,
128,128,2025-10-11,Ibadan Farmers Cooperative
129,129,2025-01-08,Uyo Farmers Cooperative
130,130,2020-01-25,Kaduna Farmers Cooperative
131,131,2018-09-22,Kumasi Farmers Cooperative
132,132,2016-04-11,
133,133,2026-03-22,
134,134,2025-11-21,
135,135,2019-07-21,
136,136,2021-07-14,
137,137,2017-09-10,Uyo Farmers Cooperative
138,138,2021-09-22,Kaduna Farmers Cooperative
139,139,2025-12-27,Enugu Farmers Cooperative
140,140,2020-03-11,Ibadan Farmers Cooperative
141,141,2017-08-17,
142,142,2015-02-19,Kaduna Farmers Cooperative
143,143,2017-11-20,
144,144,2025-05-29,
145,145,2018-09-10,Uyo Farmers Cooperative
146,146,2017-01-05,Kaduna Farmers Cooperative
147,147,2025-01-26,Kaduna Farmers Cooperative
148,148,2018-04-19,Uyo Farmers Cooperative
149,149,2024-05-31,
150,150,2021-01-28,Ibadan Farmers Cooperative
151,151,2024-07-10,
152,152,2024-12-01,
153,153,2020-10-08,Benue Farmers Cooperative
154,154,2019-04-15,Enugu Farmers Cooperative
155,155,2024-04-18,
