harvest_id,farm_id,product_id,harvest_date,volume_kg,field_agent_employee_id
1,1353,10,2026-06-30,3446.07,1097
2,5698,87,2024-10-10,5332.94,1096
3,5224,53,2024-11-16,7430.57,1078
4,6573,88,2024-09-02,4282.4,997
5,3990,122,2024-07-08,3677.21,1032
6,5524,74,2024-10-16,5876.43,1098
7,3710,35,2025-12-27,5562.53,1187
8,1498,24,2024-11-01,5100.33,1168
9,1195,6,2024-04-06,1287.43,1037
10,4592,64,2024-11-02,4602.71,947
11,758,85,2024-12-25,5826.06,1005
12,505,104,2026-06-30,2638.46,921
13,6834,67,2024-05-05,5747.97,974
14,3416,80,2024-07-11,4286.25,1126
15,849,54,2026-06-30,1236.91,964
16,2465,129,2025-05-02,1317.0,1183
17,1520,73,2024-11-08,2069.81,1140
18,5421,30,2024-03-07,5179.13,1110
19,2256,95,2026-06-30,392.2,929
20,4822,23,2026-05-10,4031.37,1166
21,3720,5,2026-06-30,6200.86,1020
22,2304,90,2026-06-03,7102.33,1097
23,1179,17,2026-06-30,822.19,968
24,3117,45,2026-06-30,7984.32,1163
25,582,21,2025-04-20,7128.41,1173
26,4824,81,2024-06-08,1927.39,1191
27,4453,109,2024-11-02,5463.81,993
28,1502,59,2024-03-23,6261.9,1051
29,6135,16,2024-05-25,7779.73,1057
30,5110,57,2025-06-05,4065.98,930
31,5108,127,2024-11-10,2926.7,1040
32,3060,70,2026-06-30,4155.98,967
33,1982,116,2026-06-30,657.52,1182
34,2727,10,2024-03-25,3364.97,1077
35,5631,2,2026-06-30,7351.38,1021
36,1393,54,2024-07-16,1616.21,950
37,3099,122,2025-06-01,3729.63,956
38,6787,46,2026-06-30,5462.39,1175
39,1521,122,2025-04-25,3867.41,1152
40,5050,137,2024-04-11,918.24,1040
41,5981,102,2024-08-21,3362.55,1121
42,1491,17,2026-02-19,400.58,1090
43,5604,57,2025-06-03,4089.57,1021
44,740,110,2025-10-17,4741.16,932
45,3717,123,2026-06-30,6331.53,1075
46,4463,105,2025-09-28,5278.41,1181
47,2649,127,2024-09-13,2327.18,1019
48,3467,43,2025-03-03,632.26,1152
49,5062,45,2026-06-30,5324.09,938
50,3066,83,2024-05-24,5890.09,1146
51,1664,32,2025-03-03,456.39,967
52,111,77,2024-10-24,3189.66,1126
53,4005,116,2025-11-04,5368.72,1110
54,707,116,2025-11-19,3441.43,983
55,1663,11,2026-04-20,3283.19,1048
56,2719,41,2024-08-04,1616.59,1149
57,578,85,2025-05-03,7489.32,910
58,3073,11,2026-03-09,5249.53,966
59,2881,64,2025-09-21,2444.84,961
60,4400,130,2024-01-12,1393.86,1081
61,6557,35,2025-11-17,3608.5,1099
62,3420,87,2025-03-08,948.87,1048
63,3459,120,2026-06-04,5432.0,1099
64,2855,41,2024-03-23,2917.22,1047
65,5334,40,2024-05-07,5196.27,1189
66,2803,120,2026-02-21,4093.98,1030
67,470,115,2026-06-07,7903.79,932
68,6297,138,2024-04-15,3222.05,1095
69,4123,67,2025-10-22,546.6,1137
70,5063,27,2026-06-30,4443.31,1180
71,3057,112,2024-04-04,5504.81,940
72,2990,137,2024-08-14,4984.99,902
73,4169,79,2026-06-30,2084.31,1179
74,3233,60,2026-06-20,569.02,1058
75,646,81,2025-09-19,3830.91,952
76,6324,35,2024-04-09,2622.48,1042
77,5242,17,2025-10-21,2383.52,935
78,1543,90,2026-05-03,6585.77,1061
79,3096,8,2024-08-16,4070.79,1067
80,3319,1,2025-09-17,6914.29,923
81,5599,79,2024-09-25,5822.61,1102
82,5213,4,2024-07-26,3561.92,998
83,4005,34,2024-03-17,568.2,1064
84,5374,31,2024-10-14,5791.64,963
85,507,101,2026-05-25,1412.08,951
86,1844,16,2025-12-17,7255.46,1146
87,5875,56,2026-06-30,7032.2,1160
88,5388,50,2024-02-13,787.59,948
89,5498,137,2025-04-03,1186.8,1187
90,4228,71,2026-06-18,4553.44,1124
91,3312,30,2024-08-06,6267.47,1005
92,2270,133,2025-03-23,1099.22,1175
93,824,28,2026-04-15,3230.71,1123
94,2550,108,2024-09-04,4028.34,976
95,6520,84,2026-06-24,7583.65,1044
96,3676,106,2024-11-02,1721.5,1012
97,1777,94,2025-10-22,375.05,974
98,4175,46,2025-05-05,4932.52,955
99,2626,66,2026-05-27,1730.59,981
100,3537,44,2024-08-12,3885.38,1021
101,5950,8,2026-06-30,3824.07,924
102,3499,23,2025-07-18,6370.58,943
103,3841,53,2024-12-20,6497.03,914
104,5942,59,2024-06-04,3584.73,1031
105,5356,59,2025-11-11,4146.72,1028
106,2685,135,2025-06-11,5261.5,1087
107,5753,124,2026-06-30,7821.43,1016
108,6659,1,2024-11-21,2929.21,1164
109,1739,118,2026-06-30,4412.86,1127
110,4703,45,2024-05-22,7746.14,1182
111,2382,108,2024-08-25,4376.96,1124
112,2683,63,2024-10-02,7441.31,1194
113,5544,44,2024-05-28,7524.44,1098
114,6415,109,2026-04-04,6919.51,1041
115,903,21,2024-09-13,1540.83,1167
116,5512,44,2025-03-03,7954.11,1048
117,5555,99,2024-04-10,4260.69,1167
118,1232,37,2026-03-16,6878.9,1049
119,4938,116,2025-06-09,3035.9,955
120,105,3,2025-11-20,715.24,949
121,1844,33,2024-06-12,6312.25,1099
122,257,70,2025-05-01,7200.86,921
123,2982,36,2025-10-28,6114.26,1106
124,5766,28,2024-04-10,3014.96,1076
125,2018,102,2025-04-09,4154.08,1055
126,1142,96,2024-03-01,7457.18,1022
127,2314,85,2026-04-25,5814.07,1152
128,2770,53,2024-03-28,4520.13,1105
129,3748,24,2024-12-09,6146.53,961
130,4580,103,2024-10-15,676.45,998
131,4147,27,2024-11-15,2261.87,1006
132,5943,69,2025-08-09,3801.08,1137
133,1873,113,2026-06-30,5574.58,933
134,1616,130,2024-01-23,7878.82,1036
135,6875,25,2026-01-28,7379.43,1099
136,2976,49,2024-04-01,3787.46,917
137,1028,21,2026-06-30,347.38,1168
138,371,88,2024-10-27,2283.63,1054
139,5675,110,2025-08-24,952.66,1110
140,4548,52,2024-04-19,1927.78,921
141,1252,133,2026-03-26,7911.24,1116
142,3830,74,2024-05-17,1470.09,1097
143,4620,19,2024-06-16,627.97,1125
144,4404,67,2026-06-30,2985.93,1112
145,26,10,2026-04-21,6429.09,1171
146,980,130,2025-11-20,1832.84,1093
147,3236,122,2024-05-20,7936.61,1188
148,4989,95,2026-04-16,1830.78,1110
149,4160,105,2025-05-19,6478.19,1085
150,1005,61,2024-09-21,2901.71,1089
151,6291,16,2024-04-28,2510.37,939
152,3288,30,2025-07-26,7099.92,1154
153,5623,86,2026-04-19,6878.73,1188
154,6655,53,2025-07-18,6014.85,1005
155,1415,11,2025-07-01,969.89,955
156,733,4,2025-10-10,5343.0,1069
157,5603,61,2024-04-18,6593.72,1022
158,435,41,2026-04-18,2992.78,957
159,29,40,2025-07-15,7763.23,1043
160,6254,20,2024-06-06,5166.68,990
161,2506,125,2024-09-26,1386.46,954
162,47,140,2025-12-27,5366.94,1146
163,3280,52,2025-02-04,5692.02,1004
164,4983,135,2024-10-17,6855.84,917
165,718,59,2026-06-30,6879.86,1065
166,2666,71,2026-06-30,6985.63,1019
167,1898,62,2024-09-21,2276.86,1129
168,2342,21,2025-11-12,1774.99,1019
169,6781,116,2026-02-05,5922.4,980
170,2935,121,2024-03-22,6496.92,937
171,5822,129,2026-06-30,659.51,1195
172,3130,90,2024-10-20,7014.07,1149
173,5428,102,2024-05-22,620.67,1180
174,1065,78,2024-10-22,2427.07,1004
175,3317,69,2026-06-30,3667.61,928
176,2690,113,2026-05-27,1600.63,983
177,5897,79,2025-04-14,6476.95,1142
178,807,136,2026-06-21,2686.93,1032
179,4460,93,2024-09-24,7471.0,1144
180,6480,52,2025-10-02,3069.07,1065
181,1459,45,2025-03-23,4033.5,979
182,6137,1,2024-09-07,1131.36,1176
183,4608,112,2026-05-11,4512.52,1143
184,3459,21,2025-04-14,2285.41,1081
185,215,132,2024-02-20,3269.36,984
186,1858,72,2024-04-19,2332.22,968
187,2672,96,2025-03-13,1640.27,1009
188,3957,54,2026-04-05,6261.33,1058
189,5593,16,2025-03-14,2540.86,919
