kyc_id,customer_id,verification_level,verified_date
1,2,tier1,2026-03-05
2,5,tier3,2020-01-28
3,9,tier1,2023-04-19
4,14,tier1,2025-10-26
5,18,tier2,2022-07-18
6,20,tier1,2024-12-24
7,21,tier2,2025-02-19
8,30,tier1,2023-10-30
9,35,tier1,2025-05-04
10,36,tier1,2023-07-17
11,38,tier2,
12,39,tier3,2022-05-26
13,41,tier1,2019-10-15
14,42,tier2,2025-08-24
15,47,tier1,2025-02-01
16,50,tier1,2023-06-30
17,53,tier3,2026-06-19
18,56,tier1,2020-01-22
19,58,tier2,2024-06-25
20,64,tier1,
21,67,tier1,
22,68,tier2,2021-12-17
23,70,tier2,2021-11-02
24,71,tier2,2025-01-21
25,75,tier2,2026-04-20
26,82,tier3,2019-06-24
27,85,tier1,2020-07-26
28,86,tier1,2021-03-31
29,91,tier2,2022-05-15
30,92,tier3,2025-12-19
31,95,tier1,2022-08-26
32,96,tier2,2025-02-05
33,97,tier2,2026-02-06
34,104,tier1,2021-03-31
35,106,tier2,2022-07-10
36,109,tier1,2025-08-21
37,113,tier3,2024-05-02
38,114,tier2,
39,115,tier2,2024-02-09
40,118,tier2,
41,119,tier1,2025-05-28
42,122,tier1,2022-11-18
43,128,tier2,2019-12-30
44,129,tier3,2023-10-04
45,130,tier3,2020-08-17
46,132,tier2,2021-01-25
47,134,tier2,2022-02-22
48,136,tier1,2023-01-07
49,138,tier2,2025-07-30
50,139,tier2,2019-10-12
51,142,tier2,
52,149,tier1,2025-04-15
53,155,tier2,2021-12-01
54,160,tier3,2025-04-06
55,166,tier3,2019-01-29
56,167,tier1,2025-03-23
57,170,tier1,
58,173,tier1,2019-05-26
59,174,tier2,2026-01-22
60,176,tier2,2021-09-22
61,180,tier3,2023-10-15
62,186,tier2,2025-08-05
63,189,tier2,
64,194,tier1,2026-02-18
65,199,tier2,2026-04-20
66,205,tier1,2020-03-31
67,208,tier3,2025-04-05
68,223,tier2,2020-03-29
69,224,tier2,2025-01-08
70,225,tier3,2020-03-09
71,226,tier2,2026-03-07
72,228,tier2,2021-09-01
73,229,tier2,2023-06-23
74,232,tier3,2020-04-26
75,233,tier1,2022-03-31
76,238,tier1,2026-06-28
