repayment_id,loan_id,due_date,amount_due,amount_paid,paid_date
1,1,2023-08-05,2584.81,2584.81,2023-08-12
2,1,2023-09-04,2584.81,2584.81,2023-09-01
3,1,2023-10-04,2584.81,2584.81,2023-10-13
4,1,2023-11-03,2584.81,2584.81,2023-11-03
5,1,2023-12-03,2584.81,2584.81,2023-12-15
6,1,2024-01-02,2584.81,2584.81,2024-01-04
7,1,2024-02-01,2584.81,2584.81,2024-02-02
8,1,2024-03-02,2584.81,2584.81,2024-03-14
9,1,2024-04-01,2584.81,2584.81,2024-04-01
10,1,2024-05-01,2584.81,2584.81,2024-05-06
11,1,2024-05-31,2584.81,2584.81,2024-06-04
12,1,2024-06-30,2584.81,2584.81,2024-07-06
13,1,2024-07-30,2584.81,2584.81,2024-07-30
14,1,2024-08-29,2584.81,2584.81,2024-09-05
15,1,2024-09-28,2584.81,2584.81,2024-09-28
16,1,2024-10-28,2584.81,2584.81,2024-10-28
17,1,2024-11-27,2584.81,2584.81,2024-12-09
18,1,2024-12-27,2584.81,2584.81,2024-12-31
19,1,2025-01-26,2584.81,2584.81,2025-02-05
20,1,2025-02-25,2584.81,2584.81,2025-03-08
21,2,2023-09-13,270290.43,270290.43,2023-09-10
22,2,2023-10-13,270290.43,270290.43,2023-10-12
23,2,2023-11-12,270290.43,270290.43,2023-11-22
24,2,2023-12-12,270290.43,270290.43,2023-12-24
25,2,2024-01-11,270290.43,270290.43,2024-01-13
26,2,2024-02-10,270290.43,270290.43,2024-02-21
27,2,2024-03-11,270290.43,270290.43,2024-03-09
28,2,2024-04-10,270290.43,0,
29,2,2024-05-10,270290.43,270290.43,2024-05-18
30,3,2023-05-31,212120.19,212120.19,2023-06-12
31,3,2023-06-30,212120.19,0,
32,3,2023-07-30,212120.19,212120.19,2023-08-05
33,3,2023-08-29,212120.19,212120.19,2023-09-08
34,3,2023-09-28,212120.19,212120.19,2023-10-03
35,3,2023-10-28,212120.19,212120.19,2023-11-01
36,3,2023-11-27,212120.19,0,
37,3,2023-12-27,212120.19,212120.19,2023-12-25
38,3,2024-01-26,212120.19,0,
39,3,2024-02-25,212120.19,212120.19,2024-03-06
40,3,2024-03-26,212120.19,212120.19,2024-04-02
