loan_id,borrower_customer_id,borrower_supplier_id,principal_amount,status
1,,2842,51696.25,repaid
2,,4539,2432613.89,active
3,,3524,2333322.11,active
4,,1794,1154700.59,defaulted
5,,4496,2000492.51,active
6,,3620,2341880.5,repaid
7,,449,690502.83,defaulted
8,,3681,2255568.67,active
9,,4080,558800.19,active
10,,1329,381280.72,active
11,,3941,501844.67,active
12,,1739,654813.51,active
13,,561,937933.03,repaid
14,,2781,2030029.46,active
15,,4926,2334298.74,active
16,,3799,1471990.89,repaid
17,,227,1258765.26,written_off
18,,1095,2154286.27,repaid
19,,3746,520108.8,active
20,,3968,2358269.18,active
21,,2654,2728048.2,active
22,,1090,1330305.08,active
23,,3679,125546.08,repaid
24,,4325,1734799.36,active
25,,2776,268127.29,active
26,,4161,1987246.21,written_off
27,,4210,423715.26,defaulted
28,,2006,2402264.68,defaulted
29,,5319,2593986.55,written_off
30,,1182,2022957.95,active
31,,3937,695513.18,repaid
32,,3523,886267.75,active
33,,4563,873650.48,active
34,,251,66116.43,repaid
35,,5032,642434.66,active
36,,92,670770.13,active
37,,2784,1651237.66,repaid
38,,685,2074950.49,active
39,,1518,2706946.2,active
40,,5148,1362516.8,repaid
41,,3957,79204.14,defaulted
42,,3165,2825678.59,active
43,,5233,1073655.84,active
44,,2607,2167094.83,active
45,,3802,1399020.87,active
46,,4391,2586654.27,repaid
47,,4781,2951895.82,repaid
48,,5367,982832.04,active
49,,5420,1876771.78,active
50,,768,984094.58,repaid
51,,4436,2227199.44,active
52,,5414,471365.62,repaid
53,,2866,1755068.52,active
54,,604,1800311.68,active
55,,1045,2932382.86,active
56,,3567,1270740.74,repaid
57,,2609,2877473.63,repaid
58,,5415,2087143.59,repaid
59,,1898,1577122.6,active
60,,4793,1233594.82,active
61,,959,2698453.67,defaulted
62,,1019,810585.59,active
63,,4986,2801895.39,active
64,,2665,584432.04,active
65,,4538,891739.22,repaid
66,,2849,2636846.91,defaulted
67,,1665,614500.72,repaid
68,,4313,84615.56,active
69,,1919,205410.39,defaulted
70,,1068,1739981.33,active
71,,5494,1003690.02,active
72,,3074,1902692.82,written_off
73,,2629,2364670.33,active
74,,542,2508297.4,active
75,,3429,1337441.5,repaid
76,,1094,1467063.79,active
77,,2961,1731101.28,active
78,,3013,1557511.46,active
79,,5133,2417501.78,defaulted
80,,567,2272788.36,repaid
81,,2950,2503139.77,repaid
82,,4475,1018190.2,active
83,,3779,643684.92,active
84,,4766,354458.54,active
85,,2420,2642291.92,active
86,,4174,2460137.56,repaid
87,,5427,865811.71,repaid
88,,2777,893999.74,active
89,,3451,603479.28,active
90,,3704,2391045.03,active
91,,2477,1311351.33,repaid
92,,1229,1341392.42,active
93,,4331,2845449.59,repaid
94,,4307,2043064.26,active
95,,948,611302.89,written_off
96,,3550,1599158.91,written_off
97,,462,450145.49,active
98,,5228,2565619.84,active
99,,4277,1240801.57,repaid
100,,5431,1656986.56,repaid
101,,1218,2367440.29,active
102,,1976,144671.72,repaid
103,,1472,2564642.67,active
104,,1512,1746575.25,active
105,,5245,2395238.38,active
106,,4215,407062.56,repaid
107,,3636,1134802.74,active
108,,4639,2073771.89,repaid
109,,1962,531236.85,repaid
110,,1457,2208678.35,written_off
111,,4491,986779.35,active
112,,1562,889840.62,repaid
113,,3952,1888893.39,written_off
114,,5285,2315337.94,active
115,,2121,1529983.92,repaid
116,,4600,458722.89,defaulted
117,,2026,2634413.51,active
118,,704,849026.77,active
119,,4122,438120.85,active
120,,1971,478895.28,active
121,,2968,922049.32,repaid
122,,3724,2656022.06,active
123,,1307,251264.57,active
124,,3161,2103103.98,active
125,,1030,301532.83,active
126,,4564,2584088.57,repaid
127,,1008,750009.55,active
128,,4779,1308268.96,active
129,,4932,625754.7,repaid
130,,5304,2581883.22,active
131,,3961,141055.16,repaid
132,,4860,2671873.64,active
133,,5399,289831.37,active
134,,3582,1207905.86,active
135,,4418,928746.45,defaulted
136,,4714,804152.54,active
137,,1448,194947.34,active
138,,4510,914188.5,repaid
139,,2804,827727.39,defaulted
140,,2724,2398805.57,repaid
141,,5227,604066.43,active
142,,3268,866015.12,repaid
143,,2130,2822523.67,repaid
144,,3155,2124827.99,active
145,,1694,436909.34,defaulted
146,,2192,1630061.22,defaulted
147,,4157,1404979.87,active
148,,2895,1922603.92,active
149,,548,2312767.95,active
150,,2141,2147385.44,repaid
151,,3448,2024742.08,active
152,,893,719190.66,active
153,,2683,257915.2,repaid
154,,5200,992028.72,repaid
155,,741,475443.67,repaid
156,,198,136755.13,active
157,,1731,2904176.19,repaid
158,,2778,1073506.39,active
159,,1211,2196784.47,active
160,,4910,2097448.0,active
161,,4051,2670251.09,repaid
162,,268,327045.1,repaid
163,,2876,2568710.75,active
164,,2395,2165712.08,active
165,,2664,1347216.97,active
166,,4213,2597269.51,repaid
167,,2224,1978213.55,written_off
168,,1057,2618592.57,active
169,,3178,2078901.93,active
170,,5346,1563621.16,active
171,,1946,2092383.84,active
172,,5400,1364888.83,active
173,,4883,561748.45,active
174,,4671,2244211.33,repaid
175,,4717,667852.43,active
176,,1543,1914678.56,defaulted
177,,985,291778.5,repaid
178,,2451,2652911.13,active
179,,4529,1299707.56,active
180,,2807,1468855.81,active
181,,2554,1742491.54,active
182,,4350,334892.13,active
183,,59,1304226.42,active
184,,2091,332294.01,active
185,,4059,1613505.08,active
186,,4998,2659886.83,repaid
187,,5379,2640414.13,active
188,,5512,2843690.0,repaid
189,,4522,1987535.49,active
190,,4085,161368.71,repaid
191,,3071,1602893.26,active
192,,2411,1499475.95,active
193,,2457,2622563.37,repaid
194,,5223,475264.04,repaid
195,,517,961946.49,written_off
