settlement_id,division_id,settlement_date,total_amount
1,retail,2026-03-27,10930391.84
2,retail,2025-07-10,32034695.64
3,retail,2025-05-09,36278867.03
4,retail,2025-09-01,29936236.89
5,retail,2026-02-07,37481021.99
6,retail,2025-12-14,36419103.97
7,retail,2026-01-31,16665212.46
8,retail,2025-11-03,9365311.22
9,retail,2026-03-15,23675749.29
10,retail,2025-10-01,22709068.72
11,retail,2025-01-06,30635122.84
12,retail,2026-04-11,13224884.44
13,retail,2025-06-15,27350750.6
14,retail,2026-04-10,32420336.5
15,retail,2025-02-24,37133690.88
16,retail,2026-04-27,39497641.26
17,retail,2025-03-11,2066011.95
18,retail,2025-01-06,22019692.38
19,retail,2026-04-21,47643320.15
20,retail,2025-08-19,41786646.62
21,retail,2026-05-28,7976386.64
22,retail,2026-05-27,4023757.6
23,retail,2025-11-23,45810955.28
24,retail,2025-08-29,684177.6
25,retail,2025-05-11,31218573.91
26,retail,2025-06-25,38939461.33
27,retail,2025-04-30,13426902.0
28,retail,2025-01-30,49077341.26
29,retail,2025-01-22,29782150.39
30,retail,2025-12-16,18581443.48
31,retail,2025-06-11,20373264.31
32,retail,2025-03-07,314661.54
33,retail,2025-01-13,38893286.28
34,retail,2026-03-31,35899083.04
35,retail,2025-11-17,49646516.15
36,retail,2025-01-07,36707685.11
37,retail,2025-04-02,32833907.14
38,retail,2026-04-09,41031227.91
39,retail,2026-01-18,48994875.03
40,retail,2026-05-24,21667009.03
41,retail,2026-03-05,29298871.61
42,retail,2026-04-10,40982124.8
43,retail,2025-11-16,46398411.57
44,retail,2025-07-24,32890357.99
45,retail,2025-10-16,17347967.29
46,retail,2026-02-04,2061488.32
47,retail,2026-05-25,6190197.68
48,retail,2025-01-12,27111920.45
49,retail,2026-06-03,18513389.27
50,retail,2026-02-25,47194210.69
51,retail,2025-03-17,43484018.22
52,retail,2025-02-22,35816683.36
53,retail,2026-06-24,18811707.61
54,retail,2026-04-18,17835126.4
55,retail,2026-01-15,27116765.41
56,retail,2025-03-15,36220363.85
57,retail,2026-03-08,43508237.92
58,retail,2025-04-14,27790877.39
59,retail,2025-01-14,33812361.18
60,retail,2026-01-04,5726053.89
61,retail,2025-03-08,12089404.86
62,retail,2025-11-11,4872906.57
63,retail,2026-05-14,34461651.23
64,retail,2025-05-21,38345478.21
65,retail,2025-05-31,25620662.07
66,retail,2026-04-03,2124677.8
67,retail,2025-12-31,32892302.59
68,retail,2025-04-26,17934536.14
69,retail,2025-12-05,26777806.57
70,retail,2026-05-24,1628568.87
71,retail,2026-05-06,35120554.77
72,retail,2026-01-11,7901562.52
73,retail,2026-06-10,548546.95
74,retail,2025-10-07,7695592.52
75,retail,2026-04-07,6390415.9
76,retail,2025-10-24,21685449.24
77,retail,2025-05-06,27891195.77
78,retail,2025-05-14,31333160.55
79,retail,2025-04-30,41038292.24
80,retail,2025-06-01,42939441.3
81,retail,2025-07-23,21950363.12
82,retail,2025-03-13,15931342.27
83,retail,2025-12-30,38770984.04
84,retail,2026-04-12,26008907.41
85,retail,2026-03-14,25674707.13
86,retail,2025-12-20,40261885.66
87,retail,2025-10-19,32712242.77
88,retail,2025-12-15,9800141.36
89,retail,2025-02-28,38574684.95
90,retail,2025-10-19,9612125.56
91,retail,2025-12-08,13617570.38
92,retail,2026-05-06,12787697.96
93,retail,2025-05-02,25432846.61
94,retail,2025-03-04,512132.17
